id_jugador,nombre,anio,camiseta,posicion,jugo,jugo_titular,capitan,no_jugo,goles,prom_goles,tarjeta_amarilla,tarjeta_roja,pg,pe,pp,pos_final
4550,Hubert Baumgartner,1978,22,Arquero,0,0,0,6,0,0.0,0,0,0,0,0,7
4551,Michael Baur,1990,12,Mediocampista,0,0,0,3,0,0.0,0,0,0,0,0,18
4552,Josef Bican,1934,-,Delantero,4,4,0,0,1,0.25,0,0,2,0,2,4
4553,Georg Braun,1934,-,Delantero,1,1,0,3,0,0.0,0,0,0,0,1,4
4554,Gerhard Breitenberger,1978,4,Defensor,4,4,0,2,0,0.0,0,0,2,0,2,7
4555,Hans Buzek,1958,9,Delantero,3,3,0,0,0,0.0,0,0,0,1,2,15
4556,Harald Cerny,1998,13,Mediocampista,2,2,0,1,0,0.0,0,0,0,2,0,23
4557,Franz Cisar,1934,-,Defensor,4,4,0,0,0,0.0,0,0,2,0,2,4
4558,Josef Degeorgi,1982,4,Defensor,4,4,0,1,0,0.0,1,0,2,0,2,8
4559,Robert Dienst,1954,19,Delantero,2,2,0,3,0,0.0,0,0,2,0,0,3
4559,Robert Dienst,1958,19,Delantero,0,0,0,3,0,0.0,0,0,0,0,0,15
4560,Hans Dihanich,1982,15,Mediocampista,0,0,0,5,0,0.0,0,0,0,0,0,8
4561,Bruno Engelmeier,1958,22,Arquero,0,0,0,3,0,0.0,0,0,0,0,0,15
4562,Wolfgang Feiersinger,1998,5,Defensor,3,3,0,0,0,0.0,1,0,0,2,1,23
4563,Herbert Feurer,1982,21,Arquero,0,0,0,5,0,0.0,0,0,0,0,0,8
4564,Friederich Franzl,1934,-,Arquero,0,0,0,4,0,0.0,0,0,0,0,0,4
4565,Erwin Fuchsbichler,1978,21,Arquero,0,0,0,6,0,0.0,0,0,0,0,0,7
4566,Karl Giesser,1954,14,Mediocampista,0,0,0,5,0,0.0,0,0,0,0,0,3
4567,Gerald Glatzmayer,1990,19,Mediocampista,1,0,0,2,0,0.0,1,0,1,0,0,18
4568,Mario Haas,1998,7,Delantero,3,1,0,0,0,0.0,0,0,0,2,1,23
4569,Max Hagmayr,1982,13,Delantero,1,1,0,4,0,0.0,0,0,0,1,0,8
4570,Paul Halla,1954,20,Defensor,0,0,0,5,0,0.0,0,0,0,0,0,3
4570,Paul Halla,1958,2,Defensor,1,1,0,2,0,0.0,0,0,0,0,1,15
4571,Pepi Hammerl,1958,14,Delantero,0,0,0,3,0,0.0,0,0,0,0,0,15
4572,Gerhard Hanappi,1954,2,Defensor,5,5,0,0,0,0.0,0,0,4,0,1,3
4572,Gerhard Hanappi,1958,5,Defensor,3,3,3,0,0,0.0,0,0,0,1,2,15
4573,Ernst Happel,1954,3,Defensor,4,4,0,1,0,0.0,0,0,3,0,1,3
4573,Ernst Happel,1958,3,Defensor,2,2,0,1,0,0.0,0,0,0,1,1,15
4574,Gunter Happich,1978,13,Mediocampista,1,0,0,5,0,0.0,0,0,0,0,1,7
4575,Josef Hassmann,1934,-,Delantero,0,0,0,4,0,0.0,0,0,0,0,0,4
4576,Roland Hattenberger,1978,6,Mediocampista,0,0,0,6,0,0.0,0,0,0,0,0,7
4576,Roland Hattenberger,1982,6,Mediocampista,4,4,0,1,0,0.0,1,0,2,0,2,8
4577,Walter Haummer,1954,22,Delantero,0,0,0,5,0,0.0,0,0,0,0,0,3
4578,Andreas Heraf,1998,20,Mediocampista,0,0,0,3,0,0.0,0,0,0,0,0,23
4579,Andreas Herzog,1990,20,Mediocampista,3,3,0,0,0,0.0,1,0,1,0,2,18
4579,Andreas Herzog,1998,10,Mediocampista,3,1,0,0,1,0.33,0,0,0,2,1,23
4580,Josef Hickersberger,1978,7,Mediocampista,6,6,0,0,0,0.0,0,0,3,0,3,7
4581,Martin Hiden,1998,12,Defensor,0,0,0,3,0,0.0,0,0,0,0,0,23
4582,Reinhold Hintermaier,1982,10,Mediocampista,5,4,0,0,1,0.2,1,0,2,1,2,8
4583,Leopold Hofmann,1934,-,Mediocampista,0,0,0,4,0,0.0,0,0,0,0,0,4
4584,Walter Horak,1958,7,Delantero,2,2,0,1,0,0.0,0,0,0,0,2,15
4585,Alfred Hortnagl,1990,11,Mediocampista,2,1,0,1,0,0.0,0,0,0,0,2,18
4586,Johann Horvath,1934,-,Delantero,2,2,2,2,2,1.0,0,0,1,0,1,4
4587,Anton Janda,1934,-,Defensor,0,0,0,4,0,0.0,0,0,0,0,0,4
4588,Kurt Jara,1978,11,Mediocampista,4,4,0,2,0,0.0,0,0,2,0,2,7
4588,Kurt Jara,1982,11,Mediocampista,1,1,0,4,0,0.0,0,0,0,0,1,8
4589,Gernot Jurtin,1982,18,Delantero,2,1,0,3,0,0.0,0,0,1,1,0,8
