id_jugador,nombre,id_seleccion,altura,fecha_nacimiento,nacionalidad
5367,Diego Placente,6,1.76 m,24 de abril de 1977,Argentina
5368,Mauricio Pochettino,6,1.82 m,2 de marzo de 1972,Argentina
5369,Aldo Poy,6,,14 de septiembre de 1945,Argentina
5370,Diego Pozo,6,1.83 m,16 de febrero de 1978,Argentina
5371,Eliseo Prado,6,,17 de septiembre de 1929,Argentina
5372,Nery Pumpido,6,,30 de julio de 1957,Argentina
5373,Jose Manuel Ramos Delgado,6,,26 de agosto de 1935,Argentina
5374,Antonio Rattin,6,,16 de mayo de 1937,Argentina
5375,Fernando Redondo,6,,6 de junio de 1969,Argentina
5376,Juan Román Riquelme,6,1.82 m,24 de junio de 1978,Argentina
5377,Carlos Roa,6,,15 de agosto de 1969,Argentina
5378,Clemente Rodriguez,6,1.66 m,31 de julio de 1981,Argentina
5379,Guido Rodriguez,6,1.86 m,12 de abril de 1994,Argentina
5380,Leonardo Rodriguez,6,,27 de agosto de 1966,Argentina
5381,Maxi Rodriguez,6,1.73 m,2 de enero de 1981,Argentina
5382,Alfredo Rojas,6,,20 de febrero de 1937,Argentina
5383,Marcos Rojo,6,1.84 m,20 de marzo de 1990,Argentina
5384,Antonio Roma,6,,13 de julio de 1932,Argentina
5385,Cristian Romero,56,1.85 m,27 de abril de 1998,México
5386,Sergio Romero,56,1.91 m,22 de febrero de 1987,México
5387,Nestor Rossi,6,,10 de mayo de 1925,Argentina
5388,Oscar Rossi,6,,27 de julio de 1930,Argentina
5389,Francisco Rua,6,,4 de febrero de 1911,Argentina
5390,Oscar Ruggeri,6,,26 de enero de 1962,Argentina
5391,Geronimo Rulli,6,1.89 m,20 de mayo de 1992,Argentina
5392,Francisco Sa,6,,25 de octubre de 1945,Argentina
5393,Federico Sacchi,6,,9 de agosto de 1936,Argentina
5394,Alberto Sainz,6,,13 de diciembre de 1937,Argentina
5395,Eduardo Salvio,6,1.72 m,13 de julio de 1990,Argentina
5396,Walter Samuel,6,1.82 m,23 de marzo de 1978,Argentina
5397,Jose Sanfilippo,6,,4 de mayo de 1935,Argentina
5398,Santiago Santamaria,6,,22 de agosto de 1952,Argentina
5399,Miguel Santoro,6,,27 de febrero de 1942,Argentina
5400,Juan Sarnari,6,,22 de enero de 1942,Argentina
5401,Javier Saviola,6,1.68 m,11 de diciembre de 1981,Argentina
5402,Lionel Scaloni,6,1.82 m,16 de mayo de 1978,Argentina
5403,Alejandro Scopelli,6,,12 de mayo de 1908,Argentina
5404,Norberto Scoponi,6,,13 de enero de 1961,Argentina
5405,Roberto Sensini,6,1.78 m,12 de octubre de 1966,Argentina
5406,Jose Serrizuela,6,,10 de junio de 1962,Argentina
5407,Carmelo Simeone,6,,22 de septiembre de 1934,Argentina
5408,Diego Simeone,6,1.78 m,28 de abril de 1970,Argentina
5409,Juan Simon,6,,2 de marzo de 1960,Argentina
5410,Jorge Solari,6,,11 de noviembre de 1941,Argentina
5411,Juan Sorin,6,1.73 m,5 de mayo de 1976,Argentina
5413,Carlos Spadaro,6,,5 de febrero de 1902,Argentina
5414,Carlos Squeo,6,,4 de junio de 1948,Argentina
5415,Guillermo Stabile,6,,17 de enero de 1906,Argentina
5416,Pedro Suarez,6,,21 de diciembre de 1909,Argentina
5417,Nicolas Tagliafico,6,1.72 m,31 de agosto de 1992,Argentina
5418,Carlos Tapia,6,,20 de agosto de 1962,Argentina
5419,Anibal Tarabini,6,,4 de agosto de 1941,Argentina
5420,Alberto Tarantini,6,,3 de diciembre de 1955,Argentina
5421,Roberto Telch,6,,6 de noviembre de 1943,Argentina
5422,Carlos Tevez,6,1.73 m,5 de febrero de 1984,Argentina
5423,Nestor Togneri,6,,27 de noviembre de 1942,Argentina
5424,Marcelo Trobbiani,6,,17 de febrero de 1955,Argentina
5425,Pedro Troglio,6,,28 de julio de 1965,Argentina
5426,Enzo Trossero,6,,23 de mayo de 1953,Argentina
5427,Costantino Urbieta Sosa,80,,12 de agosto de 1907,Uruguay
5428,Oscar Ustari,6,1.84 m,3 de julio de 1986,Argentina
5429,Federico Vairo,6,,27 de enero de 1930,Argentina
5430,Jorge Valdano,6,,4 de octubre de 1955,Argentina
5431,Jose Valencia,6,,3 de octubre de 1955,Argentina
5432,Jose Van Tuyne,6,,13 de diciembre de 1954,Argentina
5433,Jose Varacka,6,,27 de mayo de 1932,Argentina
5434,Francisco Varallo,6,,5 de febrero de 1910,Argentina
5435,Sergio Vazquez,56,,23 de noviembre de 1965,México
5436,Juan Veron,6,1.86 m,9 de marzo de 1975,Argentina
5437,Ricardo Villa,6,,18 de agosto de 1952,Argentina
5438,Nelson Vivas,6,1.66 m,18 de octubre de 1969,Argentina
5439,Federico Wilde,6,,1 de enero de 1909,Argentina
5440,Enrique Wolff,6,,21 de febrero de 1949,Argentina
5441,Hector Yazalde,6,,29 de mayo de 1946,Argentina
5442,Pablo Zabaleta,6,1.74 m,16 de enero de 1985,Argentina
5443,Javier Zanetti,51,1.78 m,10 de agosto de 1973,Italia
5444,Hector Zelada,6,,30 de abril de 1957,Argentina
5445,Adolfo Zumelzu,6,,5 de enero de 1902,Argentina
5446,Berman Ahmet,77,,,Turquía
5447,Kacmaz Akgun,77,,,Turquía
5448,Fatih Akyel,77,1.80 m,26 de diciembre de 1977,Turquía
5449,Beratligil Ali,16,,,Catar
5450,Emre Asik,77,1.85 m,13 de diciembre de 1973,Turquía
5451,Dirimlili Basri,77,,7 de junio de 1929,Turquía
5452,Yildiray Basturk,77,1.68 m,24 de diciembre de 1978,Turquía
5453,Emre Belozoglu,77,1.71 m,7 de septiembre de 1980,Turquía
5454,Eken Bulent,77,,26 de octubre de 1923,Turquía
5455,Sargun Burhan,77,,11 de febrero de 1929,Turquía
5456,Okan Buruk,77,1.69 m,19 de octubre de 1973,Turquía
5457,Omer Catkic,77,1.73 m,15 de octubre de 1974,Turquía
5458,Zeybek Cetin,77,,12 de septiembre de 1932,Turquía
5459,Tas Coskun,77,,23 de abril de 1935,Turquía
5460,Umit Davala,77,1.86 m,30 de julio de 1973,Turquía
5461,Abdullah Ercan,77,1.82 m,8 de diciembre de 1971,Turquía
5462,Arif Erdem,77,1.80 m,2 de enero de 1972,Turquía
5463,Mustafa Erton,77,,21 de abril de 1926,Turquía
5464,Ismail Feridun,77,,5 de abril de 1933,Turquía
5465,Tayfur Havutcu,77,1.80 m,23 de abril de 1970,Turquía
5466,Muzzy Izzet,77,1.77 m,31 de octubre de 1974,Turquía
5467,Aytac Kadri,77,,1 de enero de 1931,Turquía
5468,Nihat Kahveci,77,1.75 m,23 de noviembre de 1979,Turquía
5469,Tugay Kerimoglu,77,1.75 m,24 de agosto de 1970,Turquía
5470,Erol Keskin,77,,2 de marzo de 1927,Turquía
5471,Bulent Korkmaz,77,1.81 m,24 de noviembre de 1968,Turquía
5472,Lefter Kucukandonyadis,77,,22 de diciembre de 1925,Turquía
5473,Ilhan Mansiz,77,1.84 m,10 de agosto de 1975,Turquía
5474,Dincer Mehmet,77,,,Turquía
5475,Erdem Naci,77,,28 de enero de 1931,Turquía
5476,Gunar Nedim,77,,,Turquía
5477,Onarici Nemci,77,,2 de noviembre de 1925,Turquía
5478,Alpay Ozalan,77,1.88 m,29 de mayo de 1973,Turquía
5479,Umit Ozat,77,1.83 m,30 de octubre de 1976,Turquía
5480,Zafer Ozgultekin,77,1.83 m,10 de marzo de 1975,Turquía
5481,Ergun Penbe,77,1.78 m,17 de mayo de 1972,Turquía
5482,Rustu Recber,77,1.86 m,10 de mayo de 1973,Turquía
5483,Bolatli Ridvan,77,,2 de diciembre de 1928,Turquía
5484,Izak Rober,77,,21 de diciembre de 1930,Turquía
5485,Hasan Sas,77,1.76 m,1 de agosto de 1976,Turquía
5486,Mamat Suat,77,,8 de noviembre de 1930,Turquía
5487,Ersoy Sukru,77,,14 de enero de 1934,Turquía
5488,Hakan Sukur,77,1.91 m,1 de septiembre de 1971,Turquía
5489,Seren Turgay,77,,15 de mayo de 1932,Turquía
5490,Hakan Unsal,77,1.78 m,14 de mayo de 1973,Turquía
5491,Qi An,18,1.92 m,21 de junio de 1981,China
5492,Wei Du,18,1.87 m,9 de febrero de 1982,China
5493,Zhiyi Fan,18,1.83 m,22 de enero de 1970,China
5494,Yao Gao,18,1.85 m,13 de julio de 1977,China
5495,Haidong Hao,18,1.75 m,25 de agosto de 1970,China
5496,Jin Jiang,18,1.98 m,7 de octubre de 1969,China
5497,Tie Li,18,1.83 m,18 de septiembre de 1977,China
5498,Weifeng Li,18,1.82 m,26 de enero de 1978,China
5499,Xiaopeng Li,20,1.82 m,5 de noviembre de 1976,Corea del Norte
5500,Mingyu Ma,18,1.76 m,10 de agosto de 1972,China
5501,Chuliang Ou,18,1.80 m,26 de agosto de 1968,China
5502,Hong Qi,18,1.78 m,3 de junio de 1976,China
5503,Bo Qu,18,1.84 m,15 de julio de 1981,China
5504,Jiayi Shao,18,1.86 m,10 de abril de 1980,China
5505,Maozhen Su,18,1.86 m,30 de julio de 1972,China
5506,Jihai Sun,18,1.82 m,30 de septiembre de 1977,China
5507,Chengying Wu,18,1.83 m,21 de abril de 1975,China
5508,Yunlong Xu,18,1.81 m,17 de febrero de 1979,China
5509,Chen Yang,20,1.86 m,17 de enero de 1974,Corea del Norte
5510,Pu Yang,20,1.79 m,30 de marzo de 1978,Corea del Norte
5511,Genwei Yu,18,1.80 m,19 de agosto de 1976,China
5512,Enhua Zhang,18,1.83 m,11 de mayo de 1974,China
5513,Junzhe Zhao,18,1.80 m,18 de abril de 1979,China
5514,Ignazio Abate,51,1.80 m,12 de noviembre de 1986,Italia
5515,Christian Abbiati,51,1.90 m,8 de julio de 1977,Italia
5516,Demetrio Albertini,51,1.80 m,23 de agosto de 1971,Italia
5517,Enrico Albertosi,51,,2 de noviembre de 1939,Italia
5518,Luigi Allemandi,51,,8 de noviembre de 1903,Italia
5519,Jose Altafini,51,,24 de julio de 1938,Italia
5520,Alessandro Altobelli,51,,28 de noviembre de 1955,Italia
5521,Amedeo Amadei,51,,26 de julio de 1921,Italia
5522,Marco Amelia,51,1.90 m,2 de abril de 1982,Italia
5523,Pietro Anastasi,51,,7 de abril de 1948,Italia
5524,Carlo Ancelotti,51,,10 de junio de 1959,Italia
5525,Michele Andreolo,51,1.69 m,6 de septiembre de 1912,Italia
5526,Carlo Annovazzi,51,,24 de mayo de 1925,Italia
5527,Giancarlo Antognoni,51,,1 de abril de 1954,Italia
5528,Roberto Anzolin,51,,18 de abril de 1938,Italia
5529,Luigi Apolloni,51,,2 de mayo de 1967,Italia
5530,Alberto Aquilani,51,1.86 m,7 de junio de 1984,Italia
5531,Pietro Arcari,51,,2 de diciembre de 1909,Italia
5532,Dino Baggio,51,,24 de julio de 1971,Italia
5533,Roberto Baggio,51,1.74 m,18 de febrero de 1967,Italia
5534,Salvatore Bagni,51,,25 de septiembre de 1956,Italia
5535,Mario Balotelli,51,1.89 m,12 de agosto de 1990,Italia
5536,Franco Baresi,51,,8 de mayo de 1960,Italia
5537,Giuseppe Baresi,51,,7 de febrero de 1958,Italia
5538,Paolo Barison,51,,23 de junio de 1936,Italia
5539,Simone Barone,51,1.80 m,30 de abril de 1978,Italia
5540,Andrea Barzagli,51,1.86 m,8 de mayo de 1981,Italia
5541,Mauro Bellugi,51,,7 de febrero de 1950,Italia
5542,Antonio Benarrivo,51,,21 de agosto de 1968,Italia
5543,Romeo Benetti,51,,20 de octubre de 1945,Italia
5544,Giuseppe Bergomi,51,,22 de diciembre de 1963,Italia
5545,Nicola Berti,51,,14 de abril de 1967,Italia
5546,Mario Bertini,51,,7 de enero de 1944,Italia
5547,Luigi Bertolini,51,,13 de septiembre de 1904,Italia
5548,Sergio Bertoni,51,,23 de septiembre de 1915,Italia
5549,Roberto Bettega,51,,27 de diciembre de 1950,Italia
5550,Amedeo Biavati,51,,4 de abril de 1915,Italia
5551,Ivano Blason,51,,24 de mayo de 1923,Italia
5552,Salvatore Bocchetti,51,1.78 m,30 de noviembre de 1986,Italia
5553,Roberto Boninsegna,51,,13 de noviembre de 1943,Italia
5554,Giampiero Boniperti,51,,4 de julio de 1928,Italia
5555,Leonardo Bonucci,51,1.90 m,1 de mayo de 1987,Italia
5556,Ivano Bordon,51,1.86 m,13 de abril de 1951,Italia
5557,Felice Borel,51,,5 de abril de 1914,Italia
5558,Luca Bucci,51,,13 de marzo de 1969,Italia
5559,Gianluigi Buffon,51,1.91 m,28 de enero de 1978,Italia
5560,Lorenzo Buffon,51,,19 de diciembre de 1929,Italia
5561,Giacomo Bulgarelli,51,,24 de octubre de 1940,Italia
5562,Tarcisio Burgnich,51,,25 de abril de 1939,Italia
5563,Antonio Cabrini,51,,8 de octubre de 1957,Italia
