jugador,seleccion_nacionalidad,mundial,camiseta,posicion,jugo,jugo_titular,capitan,no_jugo,goles,prom_goles,tarjeta_amarilla,tarjeta_roja,pg,pe,pp,pos_final
Ronald Koeman,Paises Bajos,1990,4,Defensor,4,4,0,0,1,0.25,0,0,0,3,1,15
Ronald Koeman,Paises Bajos,1994,4,Defensor,5,5,5,0,0,0.00,1,0,3,0,2,7
Ronald Langon,Uruguay,1962,19,Delantero,1,1,0,2,0,0.00,0,0,1,0,0,13
Ronald Marin,Costa Rica,1990,15,Defensor,0,0,0,4,0,0.00,0,0,0,0,0,13
Rónald Matarrita,Costa Rica,2022,22,Defensor,2,0,0,1,0,0.00,0,0,0,0,2,27
Ronald Worm,Alemania Occidental,1978,19,Delantero,0,0,0,6,0,0.00,0,0,0,0,0,6
Ronaldao,Brasil,1994,4,Defensor,0,0,0,7,0,0.00,0,0,0,0,0,1
Ronaldinho,Brasil,2002,11,Mediocampista,5,5,0,2,2,0.40,1,1,5,0,0,1
Ronaldinho,Brasil,2006,10,Mediocampista,5,5,0,0,0,0.00,0,0,4,0,1,5
Ronaldo,Brasil,1994,20,Delantero,0,0,0,7,0,0.00,0,0,0,0,0,1
Ronaldo,Brasil,1998,9,Delantero,7,7,0,0,4,0.57,0,0,4,1,2,2
Ronaldo,Brasil,2002,9,Delantero,7,7,0,0,8,1.14,0,0,7,0,0,1
Ronaldo,Brasil,2006,9,Delantero,5,5,0,0,3,0.60,2,0,4,0,1,5
Ronnie Hellstrom,Suecia,1970,1,Arquero,1,1,0,2,0,0.00,0,0,0,0,1,9
Ronnie Hellstrom,Suecia,1974,1,Arquero,6,6,0,0,0,0.00,0,0,2,2,2,5
Ronnie Hellstrom,Suecia,1978,1,Arquero,3,3,0,0,0,0.00,0,0,0,1,2,13
Ronnie Whelan,Irlanda,1990,6,Mediocampista,1,0,0,4,0,0.00,0,0,0,1,0,8
Ronnie Whelan,Irlanda,1994,18,Mediocampista,1,0,0,3,0,0.00,0,0,0,1,0,16
Ronny Johnsen,Noruega,1998,3,Defensor,4,4,0,0,0,0.00,0,0,1,2,1,15
Ronny Pettersson,Suecia,1970,17,Arquero,0,0,0,3,0,0.00,0,0,0,0,0,9
Rony Martínez,Honduras,2014,16,Delantero,0,0,0,3,0,0.00,0,0,0,0,0,31
Roque Junior,Brasil,2002,4,Defensor,6,6,0,1,0,0.00,2,0,6,0,0,1
Roque Maspoli,Uruguay,1950,-,Arquero,3,3,0,1,0,0.00,0,0,2,1,0,1
Roque Maspoli,Uruguay,1954,1,Arquero,5,5,0,0,0,0.00,0,0,3,0,2,4
Roque Santa Cruz,Paraguay,2002,9,Delantero,4,4,0,0,1,0.25,1,0,1,1,2,16
Roque Santa Cruz,Paraguay,2006,9,Delantero,3,3,0,0,0,0.00,0,0,1,0,2,18
Roque Santa Cruz,Paraguay,2010,9,Delantero,5,3,0,0,0,0.00,1,0,1,3,1,8
Rory Fallon,Nueva Zelanda,2010,14,Delantero,3,3,0,0,0,0.00,1,0,0,3,0,22
Rosen Kirilov,Bulgaria,1998,21,Defensor,0,0,0,3,0,0.00,0,0,0,0,0,29
Rosendo Hernandez,España,1950,-,Delantero,2,2,0,4,0,0.00,0,0,1,0,1,4
Ross Barkley,Inglaterra,2014,21,Mediocampista,3,1,0,0,0,0.00,1,0,0,1,2,26
Rostilav Vojacek,Checoslovaquia,1982,6,Defensor,2,2,0,1,0,0.00,0,0,0,1,1,19
Rouzbeh Cheshmi,Irán,2018,4,Defensor,1,1,0,2,0,0.00,0,0,1,0,0,18
Rouzbeh Cheshmi,Irán,2022,15,Defensor,2,1,0,1,1,0.50,0,0,1,0,1,26
Roy Aitken,Escocia,1986,8,Mediocampista,3,3,0,0,0,0.00,0,0,0,1,2,19
Roy Aitken,Escocia,1990,3,Mediocampista,3,3,3,0,0,0.00,0,0,1,0,2,18
Roy Andersson,Suecia,1978,3,Defensor,3,3,0,0,0,0.00,0,0,0,1,2,13
Roy Bentley,Inglaterra,1950,-,Delantero,2,2,0,1,0,0.00,0,0,1,0,1,8
Roy Keane,Irlanda,1994,6,Mediocampista,4,4,0,0,0,0.00,1,0,1,1,2,16
Roy Keane,Irlanda,2002,6,Mediocampista,0,0,0,4,0,0.00,0,0,0,0,0,12
Roy Miller,Costa Rica,2014,19,Defensor,1,1,0,4,0,0.00,0,0,0,1,0,8
Roy Myers,Costa Rica,1990,17,Delantero,1,0,0,3,0,0.00,0,0,0,0,1,13
Roy Rea,Irlanda del Norte,1958,18,Arquero,0,0,0,5,0,0.00,0,0,0,0,0,7
Roy Vernon,Gales,1958,18,Delantero,1,1,0,4,0,0.00,0,0,0,1,0,5
Roy Wegerle,Estados Unidos,1994,10,Delantero,4,0,0,0,0,0.00,0,0,1,1,2,14
Roy Wegerle,Estados Unidos,1998,7,Mediocampista,2,1,0,1,0,0.00,0,0,0,0,2,32
Ruben Amorim,Portugal,2010,17,Mediocampista,1,0,0,3,0,0.00,0,0,0,1,0,11
Ruben Amorim,Portugal,2014,20,Mediocampista,1,1,0,2,0,0.00,0,0,1,0,0,18
Ruben Ayala,Argentina,1974,2,Delantero,6,6,0,0,1,0.17,0,0,1,2,3,8
Ruben Baraja,España,2002,8,Mediocampista,4,4,0,1,0,0.00,2,0,2,2,0,5
Ruben Bareno,Uruguay,1970,17,Delantero,1,1,0,5,0,0.00,0,0,0,1,0,4
Ruben Cano,España,1978,20,Delantero,1,1,0,2,0,0.00,0,0,0,0,1,10
Ruben Corbo,Uruguay,1974,11,Delantero,2,2,0,1,0,0.00,0,0,0,1,1,13
Ruben Correa,Perú,1970,12,Arquero,0,0,0,4,0,0.00,0,0,0,0,0,7
Rúben Dias,Portugal,2018,13,Defensor,0,0,0,4,0,0.00,0,0,0,0,0,13
Rúben Dias,Portugal,2022,4,Defensor,4,4,0,1,0,0.00,1,0,3,0,1,8
Ruben Diaz,Perú,1978,5,Defensor,4,4,0,2,0,0.00,0,0,2,1,1,8
Ruben Diaz,Perú,1982,15,Defensor,3,3,3,0,1,0.33,0,0,0,2,1,20
Ruben Galvan,Argentina,1978,8,Defensor,0,0,0,7,0,0.00,0,0,0,0,0,1
Ruben Glaria,Argentina,1974,9,Defensor,3,1,0,3,0,0.00,0,0,0,1,2,8
Ruben Gonzalez,Uruguay,1962,17,Defensor,0,0,0,3,0,0.00,0,0,0,0,0,13
Ruben Hernandez,Colombia,1990,22,Delantero,1,0,0,3,0,0.00,0,0,0,0,1,14
Ruben Loftus-Cheek,Inglaterra,2018,21,Mediocampista,4,3,0,3,0,0.00,1,0,2,0,2,4
Ruben Marcos,Chile,1966,12,Mediocampista,3,3,0,0,2,0.67,1,0,0,1,2,13
Ruben Moran,Uruguay,1950,-,Delantero,1,1,0,3,0,0.00,0,0,1,0,0,1
Ruben Navarro,Argentina,1962,15,Defensor,2,2,2,1,0,0.00,0,0,1,0,1,10
Rúben Neves,Portugal,2022,18,Mediocampista,5,4,0,0,0,0.00,1,0,3,0,2,8
Ruben Pagnanini,Argentina,1978,18,Defensor,0,0,0,7,0,0.00,0,0,0,0,0,1
Ruben Paz,Uruguay,1986,18,Mediocampista,1,0,0,3,0,0.00,0,0,0,0,1,16
Ruben Paz,Uruguay,1990,10,Mediocampista,3,3,0,1,0,0.00,0,0,1,1,1,16
Ruben Pereira,Uruguay,1990,20,Mediocampista,2,2,0,2,0,0.00,0,0,0,1,1,16
Ruben Ruiz Diaz,Paraguay,1998,22,Arquero,0,0,0,4,0,0.00,0,0,0,0,0,14
Ruben Soria,Uruguay,1962,15,Defensor,0,0,0,3,0,0.00,0,0,0,0,0,13
Ruben Sosa,Uruguay,1990,11,Delantero,4,3,0,0,0,0.00,1,0,1,1,2,16
Ruben Sosa,Argentina,1962,19,Delantero,1,1,0,2,0,0.00,0,0,0,0,1,10
Rubén Vargas,Suiza,2022,17,Delantero,4,4,0,0,0,0.00,1,0,2,0,2,12
Rubens,Brasil,1954,20,Delantero,0,0,0,3,0,0.00,0,0,0,0,0,6
Rubin Colwill,Gales,2022,25,Defensor,1,0,0,2,0,0.00,0,0,0,0,1,30
Rudi Hoffmann,Alemania Occidental,1958,18,Defensor,0,0,0,6,0,0.00,0,0,0,0,0,4
Rudi Kargus,Alemania Occidental,1978,21,Arquero,0,0,0,6,0,0.00,0,0,0,0,0,6
Rudi Smidts,Bélgica,1994,5,Defensor,4,3,0,0,0,0.00,1,0,2,0,2,11
Rudi Viertl,Austria,1934,-,Delantero,4,4,0,0,0,0.00,0,0,2,0,2,4
Rudi Voeller,Alemania Occidental,1986,9,Delantero,6,4,0,1,3,0.50,0,0,3,1,2,2
Rudi Voeller,Alemania Occidental,1990,9,Delantero,6,6,0,1,3,0.50,2,1,4,2,0,1
Rudi Voeller,Alemania Occidental,1994,13,Delantero,3,2,0,2,2,0.67,1,0,1,1,1,5
Rudolf Buerger,Rumania,1930,-,Defensor,2,2,0,0,0,0.00,0,0,1,0,1,8
Rudolf Buerger,Rumania,1938,-,Defensor,2,2,0,0,0,0.00,0,0,0,1,1,9
Rudolf Gellesch,Alemania,1938,-,Delantero,1,1,0,1,0,0.00,0,0,0,1,0,10
Rudolf Gramlich,Alemania,1934,-,Mediocampista,1,1,0,3,0,0.00,0,0,1,0,0,3
Rudolf Kotormany,Rumania,1934,-,Mediocampista,1,1,0,0,0,0.00,0,0,0,0,1,12
Rudolf Krcil,Checoslovaquia,1934,-,Mediocampista,4,4,0,0,0,0.00,0,0,3,0,1,2
Rudolf Noack,Alemania,1934,-,Delantero,1,1,0,3,1,1.00,0,0,0,0,1,3
Rudolf Raftl,Austria,1934,-,Arquero,0,0,0,4,0,0.00,0,0,0,0,0,4
Rudolf Raftl,Austria,1938,-,Arquero,2,2,0,0,0,0.00,0,0,0,1,1,10
Rudolf Szanwald,Austria,1958,1,Arquero,2,2,0,1,0,0.00,0,0,0,1,1,15
Rudolf Wetzer,Rumania,1930,-,Delantero,2,2,0,0,0,0.00,0,0,1,0,1,8
Ruedi Gyger,Suiza,1950,-,Defensor,0,0,0,3,0,0.00,0,0,0,0,0,6
Ruediger Abramczik,Alemania Occidental,1978,7,Delantero,3,3,0,3,1,0.33,1,0,0,2,1,6
Ruediger Schnuphase,Alemania Oriental,1974,6,Mediocampista,2,2,0,4,0,0.00,0,0,0,1,1,6
Rui Aguas,Portugal,1986,19,Delantero,1,0,0,2,0,0.00,0,0,0,0,1,17
Rui Costa,Portugal,2002,10,Mediocampista,2,1,0,1,1,0.50,1,0,1,0,1,21
Rui Jorge,Portugal,2002,23,Defensor,3,3,0,0,0,0.00,0,0,1,0,2,21
Rui Marques,Angola,2006,15,Defensor,2,0,0,1,0,0.00,0,0,0,2,0,23
Rui Patricio,Portugal,2014,12,Arquero,1,1,0,2,0,0.00,0,0,0,0,1,18
Rui Patricio,Portugal,2018,1,Arquero,4,4,0,0,0,0.00,0,0,1,2,1,13
Rui Patricio,Portugal,2022,1,Arquero,0,0,0,5,0,0.00,0,0,0,0,0,8
Rumen Goranov,Bulgaria,1974,1,Arquero,2,2,0,1,0,0.00,0,0,0,2,0,12
Runar Alex Runarsson,Islandia,2018,13,Arquero,0,0,0,3,0,0.00,0,0,0,0,0,28
Rune Bratseth,Noruega,1994,4,Defensor,3,3,3,0,0,0.00,0,0,1,1,1,17
Rune Carlsson,Suecia,1934,-,Mediocampista,2,2,0,0,0,0.00,0,0,1,0,1,8
Rúrik Gíslason,Islandia,2018,19,Mediocampista,2,1,0,1,0,0.00,0,0,0,1,1,28
Ruslan Nigmatullin,Rusia,2002,1,Arquero,3,3,0,0,0,0.00,0,0,1,0,2,22
Ruslan Pimenov,Rusia,2002,19,Delantero,2,2,0,1,0,0.00,1,0,1,0,1,22
Ruslan Rotan,Ucrania,2006,21,Mediocampista,3,1,0,2,0,0.00,0,0,1,1,1,8
Russell Latapy,Trinidad y Tobago,2006,10,Delantero,1,0,0,2,0,0.00,0,0,0,0,1,27
Russinho,Brasil,1930,-,Delantero,1,1,0,1,0,0.00,0,0,1,0,0,6
Rustu Recber,Turquía,2002,1,Arquero,7,7,0,0,0,0.00,1,0,4,1,2,3
Ruud Geels,Paises Bajos,1974,1,Delantero,0,0,0,7,0,0.00,0,0,0,0,0,2
Ruud Gullit,Paises Bajos,1990,10,Mediocampista,4,4,4,0,1,0.25,0,0,0,3,1,15
Ruud Hesp,Paises Bajos,1998,22,Arquero,0,0,0,7,0,0.00,0,0,0,0,0,4
Ruud Krol,Paises Bajos,1974,12,Defensor,7,7,0,0,1,0.14,0,0,5,1,1,2
Ruud Krol,Paises Bajos,1978,5,Defensor,7,7,7,0,0,0.00,1,0,3,2,2,2
Ruud Van Nistelrooij,Paises Bajos,2006,9,Delantero,3,3,0,1,1,0.33,0,0,2,1,0,11
Ruy,Brasil,1950,-,Mediocampista,1,1,0,5,0,0.00,0,0,0,1,0,2
Ryad Boudebouz,Argelia,2010,7,Mediocampista,1,1,0,2,0,0.00,0,0,0,1,0,28
Ryan Babel,Paises Bajos,2006,21,Delantero,1,0,0,3,0,0.00,0,0,0,1,0,11
Ryan Babel,Paises Bajos,2010,19,Delantero,0,0,0,7,0,0.00,0,0,0,0,0,2
Ryan McGowan,Australia,2014,19,Defensor,3,2,0,0,0,0.00,0,0,0,0,3,30
Ryan Nelsen,Nueva Zelanda,2010,6,Defensor,3,3,3,0,0,0.00,2,0,0,3,0,22
Ryong Woon Kang,Corea del Norte,1966,10,Mediocampista,1,1,0,3,0,0.00,0,0,0,0,1,8
Ryota Oshima,Japón,2018,18,Mediocampista,0,0,0,4,0,0.00,0,0,0,0,0,15
Ryszard Komornicki,Polonia,1986,13,Mediocampista,3,3,0,1,0,0.00,0,0,1,1,1,14
Ryszard Piec,Polonia,1938,-,Delantero,1,1,0,0,0,0.00,0,0,0,0,1,11
Ryszard Tarasiewicz,Polonia,1986,7,Mediocampista,1,1,0,3,0,0.00,0,0,0,0,1,14
Ryuzo Morioka,Japón,2002,4,Defensor,1,1,1,3,0,0.00,0,0,0,1,0,9
Saad Al Harthi,Arabia Saudita,2006,11,Delantero,1,1,0,2,0,0.00,0,0,0,0,1,28
Saad Al Hutti,Kuwait,1982,6,Mediocampista,3,3,3,0,0,0.00,0,0,0,1,2,21
Saad Al Sheeb,Catar,2022,1,Arquero,1,1,0,2,0,0.00,1,0,0,0,1,32
Saad Samir,Egipto,2018,20,Defensor,0,0,0,3,0,0.00,0,0,0,0,0,31
Saber Eid,Egipto,1990,15,Mediocampista,0,0,0,3,0,0.00,0,0,0,0,0,20
