jugador,seleccion_nacionalidad,mundial,camiseta,posicion,jugo,jugo_titular,capitan,no_jugo,goles,prom_goles,tarjeta_amarilla,tarjeta_roja,pg,pe,pp,pos_final
Hernán Galíndez,Ecuador,2022,1,Arquero,3,3,0,0,0,0.00,0,0,1,1,1,18
Hernan Medford,Costa Rica,1990,7,Delantero,3,0,0,1,1,0.33,0,0,2,0,1,13
Hernan Medford,Costa Rica,2002,17,Delantero,2,0,0,1,0,0.00,0,0,1,1,0,19
Hernando Tovar,Colombia,1962,12,Mediocampista,0,0,0,3,0,0.00,0,0,0,0,0,14
Hernanes,Brasil,2014,18,Mediocampista,3,0,0,4,0,0.00,0,0,2,0,1,4
Hesham Yakan,Egipto,1990,5,Mediocampista,3,3,0,0,0,0.00,0,0,0,2,1,20
Heung Chul Han,Corea del Sur,1954,12,Arquero,0,0,0,2,0,0.00,0,0,0,0,0,16
Heung-Min Son,Corea del Sur,2014,9,Delantero,3,3,0,0,1,0.33,1,0,0,1,2,27
Heung-Min Son,Corea del Sur,2018,7,Delantero,3,3,1,0,2,0.67,1,0,1,0,2,19
Heung-Min Son,Corea del Sur,2022,7,Mediocampista,4,4,4,0,0,0.00,0,0,1,1,2,16
Heung Sil Lee,Corea del Sur,1990,12,Mediocampista,1,1,0,2,0,0.00,1,0,0,0,1,22
Hidemasa Morita,Japón,2022,13,Mediocampista,3,3,0,1,0,0.00,0,0,1,1,1,9
Hidetoshi Nakata,Japón,1998,8,Mediocampista,3,3,0,0,0,0.00,0,0,0,0,3,31
Hidetoshi Nakata,Japón,2002,7,Mediocampista,4,4,0,0,1,0.25,0,0,2,1,1,9
Hidetoshi Nakata,Japón,2006,7,Mediocampista,3,3,0,0,0,0.00,0,0,0,1,2,29
Hilario,España,1934,-,Mediocampista,0,0,0,3,0,0.00,0,0,0,0,0,5
Hilario,Portugal,1966,9,Defensor,6,6,0,0,0,0.00,0,0,5,0,1,3
Hilario Lopez,México,1930,-,Delantero,3,3,0,0,0,0.00,0,0,0,0,3,13
Hilarion Osorio,Paraguay,1950,-,Delantero,0,0,0,2,0,0.00,0,0,0,0,0,11
Hipolito Rincon,España,1986,16,Delantero,0,0,0,5,0,0.00,0,0,0,0,0,7
Hiroaki Morishima,Japón,1998,15,Mediocampista,1,0,0,2,0,0.00,0,0,0,0,1,31
Hiroaki Morishima,Japón,2002,8,Mediocampista,3,0,0,1,1,0.33,0,0,1,1,1,9
Hiroki Ito,Japón,2022,26,Defensor,1,0,0,3,0,0.00,0,0,0,0,1,9
Hiroki Sakai,Japón,2014,21,Defensor,0,0,0,3,0,0.00,0,0,0,0,0,29
Hiroki Sakai,Japón,2018,19,Defensor,4,4,0,0,0,0.00,0,0,1,1,2,15
Hiroki Sakai,Japón,2022,19,Defensor,2,1,0,2,0,0.00,0,0,1,1,0,9
Hiroshi Kiyotake,Japón,2014,8,Mediocampista,1,0,0,2,0,0.00,0,0,0,0,1,29
Hiroshi Nanami,Japón,1998,10,Mediocampista,3,3,0,0,0,0.00,1,0,0,0,3,31
Hirving Lozano,México,2018,22,Delantero,4,4,0,0,1,0.25,0,0,2,0,2,12
Hirving Lozano,México,2022,22,Delantero,3,3,0,0,0,0.00,0,0,1,1,1,22
Hitoshi Sogahata,Japón,2002,23,Arquero,0,0,0,4,0,0.00,0,0,0,0,0,9
Hjalmar Andresen,Noruega,1938,-,Delantero,0,0,0,1,0,0.00,0,0,0,0,0,12
Ho Lee,Corea del Sur,2006,17,Mediocampista,3,3,0,0,0,0.00,1,0,1,1,1,17
Hocine Yahi,Argelia,1982,13,Mediocampista,1,0,0,2,0,0.00,0,0,1,0,0,13
Holger Badstuber,Alemania,2010,14,Defensor,2,2,0,5,0,0.00,0,0,1,0,1,3
Holger Hieronymus,Alemania Occidental,1982,19,Defensor,0,0,0,7,0,0.00,0,0,0,0,0,2
Hólmar Örn Eyjólfsson,Islandia,2018,15,Defensor,0,0,0,3,0,0.00,0,0,0,0,0,28
Homam Ahmed,Catar,2022,14,Defensor,3,3,0,0,0,0.00,1,0,0,0,3,32
Hong Djien Tan,Indias Orientales Holand.,1938,-,Delantero,1,1,0,0,0,0.00,0,0,0,0,1,15
Hong Gi Shin,Corea del Sur,1994,7,Defensor,3,3,0,0,0,0.00,1,0,0,2,1,20
Hong Qi,China,2002,19,Mediocampista,1,1,0,2,0,0.00,0,0,0,0,1,31
Honorino Landa,Chile,1962,9,Delantero,5,5,0,1,0,0.00,0,0,3,0,2,3
Honorino Landa,Chile,1966,11,Delantero,2,2,0,1,0,0.00,0,0,0,1,1,13
Horacio Casarin,México,1950,-,Delantero,3,3,2,0,1,0.33,0,0,0,0,3,12
Horacio Lopez Salgado,México,1970,10,Delantero,2,1,0,2,0,0.00,0,0,1,1,0,6
Horacio Munoz,Chile,1930,-,Delantero,0,0,0,3,0,0.00,0,0,0,0,0,5
Horacio Troche,Uruguay,1962,2,Defensor,3,3,3,0,0,0.00,0,0,1,0,2,13
Horacio Troche,Uruguay,1966,2,Defensor,4,4,4,0,0,0.00,0,1,1,2,1,7
Hördur Magnússon,Islandia,2018,18,Defensor,3,3,0,0,0,0.00,0,0,0,1,2,28
Horst-Dieter Hoettges,Alemania Occidental,1966,2,Defensor,5,5,0,1,0,0.00,0,0,3,1,1,2
Horst-Dieter Hoettges,Alemania Occidental,1970,2,Defensor,4,4,0,2,0,0.00,0,0,4,0,0,3
Horst-Dieter Hoettges,Alemania Occidental,1974,6,Defensor,1,0,0,6,0,0.00,0,0,0,0,1,1
Horst Eckel,Alemania Occidental,1954,6,Delantero,6,6,0,0,0,0.00,0,0,5,0,1,1
Horst Eckel,Alemania Occidental,1958,4,Mediocampista,4,4,0,2,0,0.00,0,0,2,1,1,4
Horst Hrubesch,Alemania Occidental,1982,9,Delantero,5,3,0,2,1,0.20,1,0,2,1,2,2
Horst Szymaniak,Alemania Occidental,1958,6,Mediocampista,6,6,0,0,0,0.00,0,0,2,2,2,4
Horst Szymaniak,Alemania Occidental,1962,6,Mediocampista,4,4,0,0,1,0.25,0,0,2,1,1,7
Horst Wolter,Alemania Occidental,1970,22,Arquero,1,1,0,5,0,0.00,0,0,1,0,0,3
Hossam Hassan,Egipto,1990,9,Delantero,3,3,0,0,0,0.00,0,0,0,2,1,20
Hossein Hosseini,Irán,2022,24,Arquero,2,1,0,1,0,0.00,0,0,1,0,1,26
Hossein Kaabi,Irán,2006,13,Defensor,3,3,0,0,0,0.00,1,0,0,1,2,26
Hossein Kanaani,Irán,2022,13,Defensor,1,0,0,2,0,0.00,1,0,0,0,1,26
Hossein Mahini,Irán,2014,13,Defensor,0,0,0,3,0,0.00,0,0,0,0,0,28
Hotaru Yamaguchi,Japón,2014,16,Mediocampista,3,2,0,0,0,0.00,0,0,0,1,2,29
Hotaru Yamaguchi,Japón,2018,16,Mediocampista,3,1,0,1,0,0.00,0,0,1,0,2,15
Houmane Jarir,Marruecos,1970,14,Delantero,2,2,0,1,1,0.50,0,0,0,0,2,14
Housain Al-Mogahwi,Arabia Saudita,2018,16,Mediocampista,2,1,0,1,0,0.00,0,0,1,0,1,26
Hristo Bonev,Bulgaria,1970,8,Mediocampista,3,2,0,0,1,0.33,0,0,0,1,2,13
Hristo Bonev,Bulgaria,1974,8,Mediocampista,3,3,3,0,1,0.33,0,0,0,2,1,12
Hristo Iliev,Bulgaria,1962,9,Delantero,1,1,0,2,0,0.00,0,0,0,0,1,15
Hristo Kolev,Bulgaria,1986,17,Mediocampista,0,0,0,4,0,0.00,0,0,0,0,0,15
Hristo Stoichkov,Bulgaria,1994,8,Delantero,7,7,0,0,6,0.86,2,0,3,1,3,4
Hristo Stoichkov,Bulgaria,1998,8,Delantero,3,3,0,0,0,0.00,1,0,0,1,2,29
Hubert Baumgartner,Austria,1978,22,Arquero,0,0,0,6,0,0.00,0,0,0,0,0,7
Hugo Almeida,Portugal,2010,18,Delantero,2,2,0,2,1,0.50,1,0,1,0,1,11
Hugo Almeida,Portugal,2014,9,Delantero,1,1,0,2,0,0.00,0,0,0,0,1,18
Hugo Ayala,México,2018,2,Defensor,2,2,0,2,0,0.00,0,0,1,0,1,12
Hugo Berly,Chile,1966,2,Defensor,0,0,0,3,0,0.00,0,0,0,0,0,13
Hugo Brizuela,Paraguay,1998,17,Delantero,1,1,0,3,0,0.00,0,0,1,0,0,14
Hugo Broos,Bélgica,1986,19,Defensor,3,2,0,4,0,0.00,0,0,0,2,1,4
Hugo Campagnaro,Argentina,2014,3,Defensor,1,1,0,6,0,0.00,0,0,1,0,0,2
Hugo De Leon,Uruguay,1990,3,Defensor,4,4,0,0,0,0.00,0,0,1,1,2,16
Hugo Gastulo,Perú,1982,4,Defensor,0,0,0,3,0,0.00,0,0,0,0,0,20
Hugo Gatti,Argentina,1966,3,Arquero,0,0,0,4,0,0.00,0,0,0,0,0,5
Hugo Guillamón,España,2022,15,Defensor,0,0,0,4,0,0.00,0,0,0,0,0,13
Hugo Hovenkamp,Paises Bajos,1978,15,Defensor,0,0,0,7,0,0.00,0,0,0,0,0,2
Hugo Lloris,Francia,2010,1,Arquero,3,3,0,0,0,0.00,0,0,0,1,2,29
Hugo Lloris,Francia,2014,1,Arquero,5,5,5,0,0,0.00,0,0,3,1,1,7
Hugo Lloris,Francia,2018,1,Arquero,6,6,6,1,0,0.00,0,0,6,0,0,1
Hugo Lloris,Francia,2022,1,Arquero,6,6,6,1,0,0.00,0,0,5,1,0,2
Hugo Perez,Estados Unidos,1994,7,Mediocampista,1,1,0,3,0,0.00,0,0,0,0,1,14
Hugo Perez,Argentina,1994,18,Mediocampista,0,0,0,4,0,0.00,0,0,0,0,0,10
Hugo Rodriguez,México,1978,19,Delantero,0,0,0,3,0,0.00,0,0,0,0,0,16
Hugo Sánchez,México,1978,11,Delantero,3,3,0,0,0,0.00,0,0,0,0,3,16
Hugo Sánchez,México,1986,9,Delantero,4,4,0,1,1,0.25,3,0,2,2,0,6
Hugo Sánchez,México,1994,9,Delantero,1,1,0,3,0,0.00,0,0,0,0,1,13
Hugo Sotil,Perú,1970,20,Delantero,4,2,0,0,0,0.00,0,0,2,0,2,7
Hugo Sotil,Perú,1978,20,Mediocampista,4,0,0,2,0,0.00,0,0,2,1,1,8
Hugo Viana,Portugal,2002,12,Mediocampista,0,0,0,3,0,0.00,0,0,0,0,0,21
Hugo Viana,Portugal,2006,10,Mediocampista,2,0,0,5,0,0.00,0,0,1,1,0,4
Hugo Villanueva,Chile,1966,21,Defensor,3,3,0,0,0,0.00,0,0,0,1,2,13
Hulk,Brasil,2014,7,Delantero,6,5,0,1,0,0.00,1,0,3,1,2,4
Humberto Cruz,Chile,1962,16,Defensor,1,1,0,5,0,0.00,0,0,1,0,0,3
Humberto Cruz,Chile,1966,4,Mediocampista,3,3,0,0,0,0.00,0,0,0,1,2,13
Humberto Donoso,Chile,1966,5,Defensor,0,0,0,3,0,0.00,0,0,0,0,0,13
Humberto Elgueta,Chile,1930,-,Mediocampista,1,1,0,2,0,0.00,0,0,1,0,0,5
Humberto Maschio,Italia,1962,8,Delantero,1,1,0,2,0,0.00,0,0,0,0,1,9
Humberto Suazo,Chile,2010,9,Delantero,2,2,0,2,0,0.00,1,0,1,0,1,10
Humberto Tozzi,Brasil,1954,18,Delantero,1,1,0,2,0,0.00,0,0,0,0,1,6
Hussain Ghuloum,Emiratos Arabes,1990,12,Delantero,3,3,0,0,0,0.00,1,0,0,0,3,24
Hussein Al Sadeq,Arabia Saudita,1994,21,Arquero,0,0,0,4,0,0.00,0,0,0,0,0,12
Hussein Al Sadeq,Arabia Saudita,1998,21,Arquero,0,0,0,3,0,0.00,0,0,0,0,0,28
Hussein Al Sulaimani,Arabia Saudita,1998,13,Defensor,3,3,0,0,0,0.00,0,0,0,1,2,28
Hussein Al Sulaimani,Arabia Saudita,2002,13,Defensor,3,3,0,0,0,0.00,0,0,0,0,3,32
Hussein Al Sulaimani,Arabia Saudita,2006,13,Defensor,3,3,2,0,0,0.00,0,0,0,1,2,28
Hussein Ali,Iraq,1986,6,Mediocampista,3,3,0,0,0,0.00,0,0,0,0,3,23
Hussein Faraki,Irán,1978,18,Delantero,3,3,0,0,0,0.00,0,0,0,1,2,14
Hussein Kazerani,Irán,1978,21,Defensor,3,3,0,0,0,0.00,0,0,0,1,2,14
Hyun-soo Jang,Corea del Sur,2018,20,Defensor,3,3,0,0,0,0.00,0,0,1,0,2,19
Hyeon-woo Jo,Corea del Sur,2018,23,Arquero,3,3,0,0,0,0.00,0,0,1,0,2,19
Hyeon-woo Jo,Corea del Sur,2022,21,Arquero,0,0,0,4,0,0.00,0,0,0,0,0,16
Hyung Il Kim,Corea del Sur,2010,3,Defensor,0,0,0,4,0,0.00,0,0,0,0,0,15
Hyung Seok Jang,Corea del Sur,1998,16,Defensor,2,0,0,1,0,0.00,0,0,0,1,1,30
Iacob Felecan,Rumania,1938,-,Defensor,1,1,0,1,0,0.00,0,0,0,0,1,9
Iago Aspas,España,2018,17,Delantero,3,0,0,1,1,0.33,0,0,0,3,0,10
Ian Bridge,Canadá,1986,6,Defensor,3,3,0,0,0,0.00,0,0,0,0,3,24
Ian Callaghan,Inglaterra,1966,20,Mediocampista,1,1,0,5,0,0.00,0,0,1,0,0,1
Ian Cox,Trinidad y Tobago,2006,2,Defensor,0,0,0,3,0,0.00,0,0,0,0,0,27
Ian Goodison,Jamaica,1998,5,Defensor,3,3,1,0,0,0.00,0,0,1,0,2,22
Ian Harte,Irlanda,2002,3,Defensor,4,4,0,0,0,0.00,0,0,1,3,0,12
Ian Mccoll,Escocia,1958,7,Defensor,0,0,0,3,0,0.00,0,0,0,0,0,14
Ian Mcmillan,Escocia,1954,22,Delantero,0,0,0,2,0,0.00,0,0,0,0,0,15
Ian Smith,Costa Rica,2018,4,Defensor,1,0,0,2,0,0.00,0,0,0,1,0,29
Ian Stewart,Irlanda del Norte,1986,11,Delantero,3,1,0,0,0,0.00,0,0,0,1,2,21
Ibrahim Afellay,Paises Bajos,2010,20,Mediocampista,3,0,0,4,0,0.00,0,0,3,0,0,2
Ibrahim Al Harbi,Arabia Saudita,1998,12,Mediocampista,2,0,0,1,0,0.00,0,0,0,1,1,28
Ibrahim Al Helwa,Arabia Saudita,1994,22,Arquero,0,0,0,4,0,0.00,0,0,0,0,0,12
Ibrahim Al Shahrani,Arabia Saudita,1998,7,Mediocampista,3,2,0,0,0,0.00,0,0,0,1,2,28
Ibrahim Al Shahrani,Arabia Saudita,2002,7,Mediocampista,3,2,0,0,0,0.00,0,0,0,0,3,32
Ibrahim Aoudou,Camerún,1982,16,Defensor,3,3,0,0,0,0.00,1,0,0,3,0,17
Ibrahim Ayew,Ghana,2010,17,Defensor,0,0,0,5,0,0.00,0,0,0,0,0,7
Ibrahim Danlad,Ghana,2022,12,Arquero,0,0,0,3,0,0.00,0,0,0,0,0,24
Ibrahim Halim,Egipto,1934,-,Mediocampista,0,0,0,1,0,0.00,0,0,0,0,0,13
Ibrahim Hassan,Egipto,1990,2,Defensor,3,3,0,0,0,0.00,1,0,0,2,1,20
Ibrahim Meer,Emiratos Arabes,1990,15,Defensor,3,3,0,0,0,0.00,1,0,0,0,3,24
Ibrahima Konaté,Francia,2022,24,Defensor,5,3,0,2,0,0.00,0,0,3,1,1,2
Idriss Kameni,Camerún,2002,22,Arquero,0,0,0,3,0,0.00,0,0,0,0,0,20
Idriss Kameni,Camerún,2010,1,Arquero,0,0,0,3,0,0.00,0,0,0,0,0,31
Idrissa Gana Gueye,Senegal,2018,5,Mediocampista,3,3,0,0,0,0.00,1,0,1,1,1,17
Idrissa Gana Gueye,Senegal,2022,5,Mediocampista,3,3,0,1,0,0.00,2,0,2,0,1,10
Ifeanyi Udeze,Nigeria,2002,14,Defensor,2,2,0,1,0,0.00,0,0,0,1,1,27
Ignace Kowalczyk,Francia,1938,-,Delantero,0,0,0,2,0,0.00,0,0,0,0,0,8
Ignacio Achucarro,Paraguay,1958,4,Defensor,3,3,0,0,0,0.00,0,0,1,1,1,12
Ignacio Ambriz,México,1994,4,Defensor,4,4,4,0,0,0.00,0,0,1,2,1,13
Ignacio Calderon,México,1966,12,Arquero,2,2,0,1,0,0.00,0,0,0,1,1,12
Ignacio Calderon,México,1970,1,Arquero,4,4,0,0,0,0.00,0,0,2,1,1,6
Ignacio Calle,Colombia,1962,6,Defensor,0,0,0,3,0,0.00,0,0,0,0,0,14
Ignacio Eizaguirre,España,1950,-,Arquero,2,2,1,4,0,0.00,0,0,1,0,1,4
Ignacio Flores,México,1978,15,Defensor,1,1,0,2,0,0.00,0,0,0,0,1,16
Ignacio Gonzalez,Uruguay,2010,18,Mediocampista,1,1,0,6,0,0.00,0,0,0,1,0,4
Ignacio Jauregui,México,1962,15,Defensor,2,2,0,1,0,0.00,0,0,1,0,1,11
Ignacio Jauregui,México,1966,5,Defensor,1,1,0,2,0,0.00,0,0,0,0,1,12
Ignacio Perez,Colombia,1962,16,Delantero,0,0,0,3,0,0.00,0,0,0,0,0,14
Ignacio Prieto,Chile,1966,14,Mediocampista,3,3,0,0,0,0.00,0,0,0,1,2,13
Ignacio Rodriguez,México,1986,12,Arquero,0,0,0,5,0,0.00,0,0,0,0,0,6
Ignaz Puschnik,Austria,1958,21,Mediocampista,0,0,0,3,0,0.00,0,0,0,0,0,15
Ignazio Abate,Italia,2014,7,Defensor,1,1,0,2,0,0.00,0,0,0,0,1,22
Igor Akinfeev,Rusia,2014,1,Arquero,3,3,0,0,0,0.00,0,0,0,2,1,24
Igor Akinfeev,Rusia,2018,1,Arquero,5,5,5,0,0,0.00,0,0,2,2,1,8
Igor Belanov,URSS,1986,19,Delantero,4,3,0,0,4,1.00,1,0,2,1,1,10
Igor Chislenko,URSS,1962,22,Delantero,3,3,0,1,2,0.67,0,0,1,1,1,6
Igor Chislenko,URSS,1966,11,Delantero,4,4,0,2,2,0.50,0,1,3,0,1,4
Igor Chugainov,Rusia,2002,14,Defensor,0,0,0,3,0,0.00,0,0,0,0,0,22
Igor Denisov,Rusia,2014,7,Mediocampista,2,0,0,1,0,0.00,0,0,0,2,0,24
Igor Dobrovolskyi,URSS,1990,11,Delantero,3,3,0,0,1,0.33,0,0,1,0,2,17
Igor Duljaj,Serbia y Montenegro,2006,4,Mediocampista,3,3,0,0,0,0.00,1,0,0,0,3,32
Igor Korneev,Rusia,1994,14,Mediocampista,1,1,0,2,0,0.00,0,0,1,0,0,18
Igor Lediakhov,Rusia,1994,20,Mediocampista,1,1,0,2,0,0.00,0,0,1,0,0,18
Igor Netto,URSS,1958,6,Mediocampista,1,1,1,4,0,0.00,0,0,0,0,1,6
Igor Netto,URSS,1962,10,Mediocampista,4,4,4,0,0,0.00,0,0,2,1,1,6
Igor Semshov,Rusia,2002,6,Mediocampista,2,2,0,1,0,0.00,1,0,1,0,1,22
Igor Shalimov,URSS,1990,18,Mediocampista,2,2,0,1,0,0.00,0,0,1,0,1,17
Igor Smolnikov,Rusia,2018,23,Defensor,1,1,0,4,0,0.00,0,1,0,0,1,8
Igor Stimac,Croacia,1998,4,Defensor,7,6,0,0,0,0.00,1,0,5,0,2,3
Igor Tudor,Croacia,1998,15,Defensor,3,0,0,4,0,0.00,0,0,3,0,0,3
Igor Tudor,Croacia,2006,5,Defensor,3,3,0,0,0,0.00,2,0,0,2,1,22
Igor Vrablic,Canadá,1986,10,Delantero,2,2,0,1,0,0.00,0,0,0,0,2,24
Ik Soo An,Corea del Sur,1994,13,Defensor,0,0,0,3,0,0.00,0,0,0,0,0,20
Ike Shorunmu,Nigeria,2002,1,Arquero,2,2,0,1,0,0.00,0,0,0,0,2,27
Ike Ugbo,Canadá,2022,12,Delantero,0,0,0,3,0,0.00,0,0,0,0,0,31
Ikechukwu Ezenwa,Nigeria,2018,1,Arquero,0,0,0,3,0,0.00,0,0,0,0,0,21
Iker Casillas,España,2002,1,Arquero,5,5,0,0,0,0.00,0,0,3,2,0,5
Iker Casillas,España,2006,1,Arquero,3,3,2,1,0,0.00,0,0,2,0,1,9
Iker Casillas,España,2010,1,Arquero,7,7,7,0,0,0.00,0,0,6,0,1,1
Iker Casillas,España,2014,1,Arquero,2,2,2,1,0,0.00,1,0,0,0,2,23
Il Jang Dae,Corea del Sur,1998,19,Defensor,0,0,0,3,0,0.00,0,0,0,0,0,30
Il Kap Park,Corea del Sur,1954,17,Delantero,1,1,0,1,0,0.00,0,0,0,0,1,16
Ildo Maneiro,Uruguay,1970,10,Mediocampista,6,6,0,0,1,0.17,1,0,2,1,3,4
Ilhan Mansiz,Turquía,2002,17,Delantero,7,1,0,0,3,0.43,1,0,4,1,2,3
Ilia Dyakov,Bulgaria,1986,21,Defensor,0,0,0,4,0,0.00,0,0,0,0,0,15
Ilia Tsymbalar,Rusia,1994,17,Mediocampista,2,2,0,1,0,0.00,0,0,1,0,1,18
Ilia Valov,Bulgaria,1986,22,Arquero,0,0,0,4,0,0.00,0,0,0,0,0,15
Ilian Iliev,Bulgaria,1998,11,Mediocampista,3,2,0,0,0,0.00,1,0,0,1,2,29
Ilian Kiryakov,Bulgaria,1994,16,Defensor,6,4,0,1,0,0.00,1,0,3,1,2,4
Ilias Chair,Marruecos,2022,13,Mediocampista,1,0,0,6,0,0.00,0,0,0,0,1,4
Ilie Dumitrescu,Rumania,1990,17,Delantero,2,0,0,2,0,0.00,0,0,1,0,1,12
Ilie Dumitrescu,Rumania,1994,11,Delantero,5,5,0,0,2,0.40,1,0,3,1,1,6
Ilie Dumitrescu,Rumania,1998,17,Delantero,1,1,0,3,0,0.00,0,0,0,1,0,11
Ilija Petkovic,Yugoslavia,1974,7,Mediocampista,5,4,0,1,1,0.20,0,0,1,2,2,7
Ilijas Pasic,Yugoslavia,1958,16,Delantero,0,0,0,4,0,0.00,0,0,0,0,0,8
Ilile Subaseanu,Rumania,1930,-,Delantero,0,0,0,2,0,0.00,0,0,0,0,0,8
Iliman Ndiaye,Senegal,2022,13,Delantero,3,2,0,1,0,0.00,0,0,2,0,1,10
Ilkay Gündogan,Alemania,2018,21,Mediocampista,1,0,0,2,0,0.00,0,0,1,0,0,22
Ilkay Gündogan,Alemania,2022,21,Mediocampista,3,3,0,0,1,0.33,0,0,1,1,1,17
Illiasu Shilla,Ghana,2006,7,Defensor,4,3,0,0,0,0.00,1,0,2,0,2,13
Ilya Kutepov,Rusia,2018,3,Defensor,5,5,0,0,0,0.00,1,0,2,2,1,8
Imed Ben Younes,Túnez,1998,2,Delantero,3,0,0,0,0,0.00,1,0,0,1,2,26
Imed Mhadhebi,Túnez,2002,7,Delantero,2,0,0,1,0,0.00,0,0,0,0,2,29
Imre Garaba,Hungría,1982,6,Defensor,3,3,0,0,0,0.00,0,0,1,1,1,14
Imre Garaba,Hungría,1986,6,Defensor,3,3,1,0,0,0.00,0,0,1,0,2,18
Imre Kiss,Hungría,1982,22,Arquero,0,0,0,3,0,0.00,0,0,0,0,0,14
Imre Kovacs,Hungría,1954,14,Mediocampista,0,0,0,5,0,0.00,0,0,0,0,0,2
Imre Markos,Hungría,1934,-,Delantero,2,2,0,0,0,0.00,0,0,1,0,1,6
Imre Mathesz,Hungría,1966,13,Mediocampista,2,2,0,2,0,0.00,0,0,2,0,0,6
Imrich Stacho,Checoslovaquia,1954,21,Arquero,1,1,0,1,0,0.00,0,0,0,0,1,14
Imrich Stacho,Checoslovaquia,1958,1,Arquero,0,0,0,4,0,0.00,0,0,0,0,0,9
In-beom Hwang,Corea del Sur,2022,6,Mediocampista,4,4,0,0,0,0.00,0,0,1,1,2,16
In Guk Mun,Corea del Norte,2010,11,Mediocampista,3,3,0,0,0,0.00,0,0,0,0,3,32
In Young Choi,Corea del Sur,1990,21,Arquero,3,3,0,0,0,0.00,0,0,0,0,3,22
In Young Choi,Corea del Sur,1994,1,Arquero,3,3,3,0,0,0.00,0,0,0,2,1,20
Inacio,Portugal,1986,20,Defensor,3,3,0,0,0,0.00,0,0,1,0,2,17
Inaki Williams,Ghana,2022,19,Delantero,3,3,0,0,0,0.00,1,0,1,0,2,24
Indio,Brasil,1954,19,Delantero,1,1,0,2,0,0.00,0,0,0,0,1,6
Inge Ejderstedt,Suecia,1970,21,Mediocampista,1,0,0,2,0,0.00,0,0,0,0,1,9
Inge Ejderstedt,Suecia,1974,16,Mediocampista,2,1,0,4,0,0.00,0,0,0,1,1,5
Ingemar Erlandsson,Suecia,1978,5,Defensor,3,3,0,0,0,0.00,0,0,0,1,2,13
Ingemar Haraldsson,Suecia,1958,16,Arquero,0,0,0,6,0,0.00,0,0,0,0,0,2
Ingvar Gard,Suecia,1950,-,Mediocampista,5,5,0,0,0,0.00,0,0,2,1,2,3
Ingvar Rydell,Suecia,1950,-,Delantero,1,1,0,4,0,0.00,0,0,1,0,0,3
Insayaf Abdulfattah,Iraq,1986,20,Arquero,1,1,0,2,0,0.00,0,0,0,0,1,23
Ioachim Moldoveanu,Rumania,1938,-,Delantero,1,1,0,1,0,0.00,0,0,0,0,1,9
Ioan Andone,Rumania,1990,4,Defensor,4,4,0,0,0,0.00,0,0,1,2,1,12
Ioan Lupescu,Rumania,1990,21,Mediocampista,3,3,0,1,0,0.00,1,0,1,2,0,12
Ioan Lupescu,Rumania,1994,5,Mediocampista,5,5,0,0,0,0.00,1,0,3,1,1,6
Ioan Sabau,Rumania,1990,8,Mediocampista,4,4,0,0,0,0.00,0,0,1,2,1,12
Ioannis Fetfatzidis,Grecia,2014,18,Mediocampista,2,1,0,2,0,0.00,0,0,0,1,1,13
Ion Dumitru,Rumania,1970,15,Mediocampista,3,3,0,0,0,0.00,1,0,1,0,2,10
Ion Lapusneanu,Rumania,1930,-,Arquero,2,2,0,0,0,0.00,0,0,1,0,1,8
Ion Vladoiu,Rumania,1994,16,Delantero,1,0,0,4,0,0.00,0,1,0,0,1,6
Ionica Bogdan,Rumania,1938,-,Delantero,1,1,0,1,0,0.00,0,0,0,0,1,9
Iordan Letchkov,Bulgaria,1994,9,Mediocampista,7,7,0,0,2,0.29,2,0,3,1,3,4
Iosif Czako,Rumania,1930,-,Defensor,1,1,0,1,0,0.00,0,0,0,0,1,8
Iosif Rotariu,Rumania,1990,5,Defensor,4,4,0,0,0,0.00,0,0,1,2,1,12
Iraj Danayfar,Irán,1978,2,Mediocampista,2,2,0,1,1,0.50,0,0,0,1,1,14
Iraragorri,España,1934,-,Mediocampista,2,2,0,1,2,1.00,0,0,1,1,0,5
Ireneusz Jelen,Polonia,2006,21,Delantero,3,2,0,0,0,0.00,0,0,1,0,2,21
Isaác Brizuela,México,2014,17,Mediocampista,0,0,0,4,0,0.00,0,0,0,0,0,10
Isaac Kiese Thelin,Suecia,2018,22,Delantero,4,0,0,1,0,0.00,0,0,3,0,1,7
Isaac Okoronkwo,Nigeria,2002,5,Defensor,3,3,0,0,0,0.00,0,0,0,1,2,27
Isaac Terrazas,México,1998,16,Defensor,0,0,0,4,0,0.00,0,0,0,0,0,13
Isaac Vorsah,Ghana,2010,15,Defensor,2,2,0,3,0,0.00,1,0,1,1,0,7
Isco,España,2018,22,Mediocampista,4,4,0,0,1,0.25,0,0,1,3,0,10
Isidoro Diaz,México,1962,11,Delantero,3,3,0,0,1,0.33,0,0,1,0,2,11
Isidoro Diaz,México,1966,6,Mediocampista,3,3,0,0,0,0.00,0,0,0,2,1,12
Isidoro Diaz,México,1970,16,Mediocampista,1,0,0,3,0,0.00,0,0,0,0,1,6
Isidoro San Jose,España,1978,21,Mediocampista,3,3,0,0,0,0.00,0,0,1,1,1,10
Isidoro Sota,México,1930,-,Arquero,1,1,0,2,0,0.00,0,0,0,0,1,13
Isidro Langara,España,1934,-,Delantero,2,2,0,1,1,0.50,0,0,1,1,0,5
Islam Slimani,Argelia,2014,13,Delantero,4,3,0,0,2,0.50,0,0,1,1,2,14
