jugador,seleccion_nacionalidad,altura,fecha_nac,posicion,num_camiseta,mundiales
Adnan Januzaj,Bélgica,1.80 m,5 de febrero de 1995,Mediocampista,"20, 18","2014, 2018"
Ado,Brasil,,4 de julio de 1944,Arquero,12,1970
Adolf Scherer,Checoslovaquia,,5 de mayo de 1938,Delantero,"18, 8","1958, 1962"
Adolf Stelzer,Suiza,,1 de septiembre de 1908,Defensor,-,1938
Adolfino Canete,Paraguay,,13 de septiembre de 1956,Mediocampista,10,1986
Adolfo Bautista,México,1.85 m,15 de mayo de 1979,Delantero,21,2010
Adolfo Machado,Panamá,1.83 m,14 de febrero de 1985,Defensor,13,2018
Adolfo Nef,Chile,,18 de enero de 1946,Arquero,22,1974
Adolfo Valencia,Colombia,,6 de febrero de 1968,Delantero,"11, 9","1994, 1998"
Adolfo Zeoli,Uruguay,,2 de mayo de 1962,Arquero,22,1990
Adolfo Zumelzu,Argentina,,5 de enero de 1902,Defensor,-,1930
Adolphe Hug,Suiza,,23 de septiembre de 1923,Arquero,-,1950
Adri Van Kraay,Paises Bajos,,1 de agosto de 1953,Defensor,4,1978
Adri Van Tiggelen,Paises Bajos,,16 de junio de 1957,Defensor,5,1990
Adriaan Van Male,Paises Bajos,,7 de octubre de 1910,Arquero,-,"1934, 1938"
Adrian Alston,Australia,,6 de febrero de 1949,Delantero,12,1974
Adrian Bone,Ecuador,1.88 m,24 de noviembre de 1988,Arquero,12,2014
Adrian Chavez,México,,27 de junio de 1962,Arquero,22,1994
Adrian Elrick,Nueva Zelanda,,29 de septiembre de 1949,Defensor,14,1982
Adrian Ilie,Rumania,,22 de abril de 1974,Delantero,11,1998
Adrian Knup,Suiza,,2 de julio de 1968,Delantero,9,1994
Adrian Popescu,Rumania,,26 de julio de 1960,Defensor,13,1990
Adrián Ramos,Colombia,1.85 m,22 de enero de 1986,Delantero,19,2014
Adriano,Brasil,1.89 m,17 de febrero de 1982,Delantero,7,2006
Adrien Rabiot,Francia,1.91 m,3 de abril de 1995,Mediocampista,14,2022
Adrien Silva,Portugal,1.76 m,15 de marzo de 1989,Mediocampista,23,2018
Affo Erassa,Togo,1.90 m,19 de febrero de 1983,Mediocampista,20,2006
Afonsinho,Brasil,,8 de marzo de 1914,Mediocampista,-,1938
Afriyie Acquah,Ghana,1.79 m,5 de enero de 1992,Mediocampista,6,2014
Afshin Peyravani,Irán,,6 de febrero de 1970,Defensor,5,1998
Agne Simonsson,Suecia,,19 de octubre de 1935,Delantero,9,1958
Agrebi Ben Rehaiem,Túnez,,20 de marzo de 1951,Mediocampista,8,1978
Aguilera,España,,22 de mayo de 1969,Defensor,15,1998
Agustín Canobbio,Uruguay,1.75 m,1 de octubre de 1998,Mediocampista,24,2022
Agustin Delgado,Ecuador,1.89 m,23 de diciembre de 1974,Delantero,11,"2002, 2006"
Agustin Miranda,Paraguay,,1 de enero de 1930,Defensor,17,1958
Agustin Orion,Argentina,1.87 m,26 de junio de 1981,Arquero,12,2014
Aharon Shuruk,Israel,,24 de febrero de 1946,Mediocampista,19,1970
Ahmad Alnameh,Irán,1.89 m,20 de octubre de 1982,Defensor,17,2014
Ahmad Nourollahi,Irán,1.85 m,1 de febrero de 1993,Mediocampista,21,2022
Ahmed Abedzadeh,Irán,,25 de mayo de 1966,Arquero,1,1998
Ahmed Al Bahri,Arabia Saudita,1.78 m,18 de septiembre de 1980,Defensor,15,2006
Ahmed Al Dosari,Arabia Saudita,1.75 m,25 de octubre de 1976,Defensor,"17, 12, 2","1998, 2002, 2006"
