jugador,seleccion_nacionalidad,altura,fecha_nac,posicion,num_camiseta,mundiales
Jorgen Juve,Noruega,,22 de noviembre de 1906,Defensor,-,1938
Jorginho,Brasil,,17 de agosto de 1964,Defensor,2,"1990, 1994"
Joris Mathijsen,Paises Bajos,1.82 m,5 de abril de 1980,Defensor,4,"2006, 2010"
Jos Van Ingelgem,Bélgica,,23 de enero de 1919,Mediocampista,-,1934
Jose Alexanko,España,,19 de septiembre de 1956,Defensor,6,1982
Jose Altafini,Brasil,,24 de julio de 1938,Delantero,"18, 9","1958, 1962"
Jose Andrade,Uruguay,,22 de noviembre de 1901,Mediocampista,-,1930
Jose Antonio,Portugal,,29 de octubre de 1957,Defensor,16,1986
Jose Antonio Camacho,España,,8 de junio de 1955,Defensor,"2, 3","1982, 1986"
Jose Antonio Reyes,España,1.75 m,1 de septiembre de 1983,Mediocampista,10,2006
Jose Augusto,Portugal,,13 de abril de 1937,Delantero,12,1966
José Basanta,Argentina,1.88 m,3 de abril de 1984,Defensor,23,2014
Jose Basualdo,Argentina,,20 de junio de 1963,Mediocampista,"4, 8","1990, 1994"
Jose Batista,Uruguay,,6 de marzo de 1962,Defensor,6,1986
Jose Borbolla,México,,31 de enero de 1920,Delantero,-,1950
Jose Brown,Argentina,,10 de noviembre de 1956,Defensor,5,1986
Jose Bulnes,Honduras,,21 de octubre de 1946,Defensor,4,1982
Jose Bustamante,Bolivia,,1 de enero de 1907,Delantero,-,1930
Jose Bustamante-Nava,Bolivia,,5 de marzo de 1922,Defensor,-,1950
José Calderón,Panamá,1.87 m,14 de agosto de 1985,Arquero,12,2018
Jose Camarasa,España,,27 de septiembre de 1967,Defensor,4,1994
Jose Cardozo,Paraguay,1.83 m,19 de marzo de 1971,Delantero,"9, 20","1998, 2002"
Jose Carlos,Portugal,,22 de septiembre de 1941,Defensor,21,1966
José Carvallo,Perú,1.83 m,1 de marzo de 1986,Arquero,21,2018
Jose Castro,México,1.73 m,11 de agosto de 1980,Defensor,15,2006
Jose Cevallos,Ecuador,1.82 m,17 de abril de 1971,Arquero,1,2002
Jose Chamot,Argentina,1.85 m,17 de mayo de 1969,Defensor,"3, 22","1994, 1998, 2002"
Jose Chaves,Costa Rica,,3 de septiembre de 1958,Defensor,6,1990
José Cifuentes,Ecuador,1.78 m,12 de marzo de 1999,Mediocampista,5,2022
Jose Cruz,Honduras,,12 de junio de 1949,Defensor,17,1982
José Cubero,Costa Rica,1.80 m,14 de febrero de 1987,Mediocampista,22,2014
Jose Cuciuffo,Argentina,,1 de febrero de 1961,Defensor,9,1986
Jose Del Castillo,Perú,,1 de enero de 1943,Delantero,18,1970
Jose Della Torre,Argentina,,23 de marzo de 1906,Defensor,-,1930
Jose Fernandez,Perú,,14 de febrero de 1939,Defensor,14,1970
José Fernando Cuadrado,Colombia,,1 de junio de 1985,Arquero,22,2018
Jose Figueroa,Honduras,,15 de diciembre de 1959,Delantero,10,1982
Jose Fonseca,México,1.84 m,2 de octubre de 1979,Delantero,17,2006
José Fonte,Portugal,1.87 m,22 de diciembre de 1983,Defensor,6,2018
José Fuenzalida,Chile,1.68 m,22 de febrero de 1985,Mediocampista,19,2014
Jose Gomez,Uruguay,,23 de octubre de 1949,Delantero,21,1974
Jose Gonzales Ganoza,Perú,,10 de julio de 1954,Arquero,12,1982
Jose Gonzalez,México,,14 de septiembre de 1942,"Defensor, Mediocampista","13, 17","1966, 1970"
Jose Herrera,Uruguay,,17 de junio de 1965,Defensor,4,1990
José Holebas,Grecia,1.84 m,27 de junio de 1984,Defensor,20,2014
Jose Huezo,El Salvador,,6 de junio de 1956,Mediocampista,10,1982
Jose Iribar,España,,1 de marzo de 1943,Arquero,1,1966
José Izquierdo,Colombia,1.71 m,7 de julio de 1992,Delantero,21,2018
Jose Jaikel,Costa Rica,,3 de abril de 1966,Delantero,16,1990
Jose Jovel,El Salvador,,26 de mayo de 1951,Defensor,3,1982
José Juan Vázquez,México,1.66 m,14 de marzo de 1988,Mediocampista,23,2014
Jose Juncosa,España,,2 de febrero de 1922,Delantero,-,1950
Jose Lamadrid,México,,3 de julio de 1930,Delantero,9,1954
Jose Leon Miracca,Paraguay,,23 de septiembre de 1903,Defensor,-,1930
Jose Luis Caminero,España,,8 de noviembre de 1967,Mediocampista,15,1994
Jose Luis Chilavert,Paraguay,1.94 m,27 de julio de 1965,Arquero,1,"1998, 2002"
José Luis Rodríguez,Panamá,,19 de junio de 1998,Mediocampista,21,2018
José Luis Rodríguez,Uruguay,1.83 m,14 de marzo de 1997,Defensor,26,2022
Jose Magrina,Cuba,,20 de marzo de 1912,Delantero,-,1938
Jose Manuel Ramos Delgado,Argentina,,26 de agosto de 1935,Defensor,"17, 2","1958, 1962"
Jose Maria Bakero,España,,11 de febrero de 1963,Mediocampista,"16, 10","1990, 1994"
Jose Maria Fuste,España,,15 de abril de 1941,Delantero,19,1966
José María Giménez,Uruguay,1.85 m,20 de enero de 1995,Defensor,"13, 2","2014, 2018, 2022"
Jose Maria Lavalle,Perú,,5 de junio de 1911,Delantero,-,1930
Jose Molina,España,,8 de agosto de 1970,Arquero,22,1998
Jose Montiel,Paraguay,1.75 m,19 de marzo de 1988,Mediocampista,17,2006
Jose Muguerza,España,,15 de septiembre de 1911,Mediocampista,-,1934
Jose Munguia,El Salvador,,28 de octubre de 1959,Arquero,20,1982
Jose Naranjo,México,,19 de marzo de 1926,Delantero,8,"1950, 1954"
Jose Nasazzi,Uruguay,,24 de mayo de 1901,Defensor,-,1930
Jose Navarro,México,,,Delantero,-,1950
Jose Navarro,Perú,,24 de septiembre de 1948,Defensor,14,1978
Jose Nazar,Honduras,,7 de septiembre de 1953,Arquero,1,1982
Jose Nehin,Argentina,,1 de enero de 1911,Mediocampista,-,1934
Jose Noya,Bolivia,,,Delantero,-,1930
Jose Ochotorena,España,,16 de enero de 1961,Arquero,22,1990
Jose Panizo,España,,6 de febrero de 1922,Delantero,-,1950
Jose Parodi,Paraguay,,30 de agosto de 1932,Delantero,8,1958
Jose Parra,España,,28 de agosto de 1925,Defensor,-,1950
Jose Pastoriza,Argentina,,23 de mayo de 1942,Mediocampista,11,1966
Jose Pazo,Colombia,,4 de abril de 1964,Arquero,22,1994
Jose Perdomo,Uruguay,,5 de enero de 1965,Mediocampista,5,1990
Jose Pereira,Portugal,,15 de septiembre de 1931,Arquero,3,1966
Jose Perez,Colombia,,24 de octubre de 1963,Mediocampista,6,1990
Jose Perlaza,Ecuador,1.93 m,6 de octubre de 1981,Defensor,5,2006
Jose Pintos,Uruguay,,25 de marzo de 1964,Defensor,14,1990
Jose Porras,Costa Rica,1.84 m,8 de noviembre de 1970,Arquero,18,2006
Jose Quintanilla,El Salvador,,29 de octubre de 1947,Mediocampista,6,1970
Jose Raul Aveiro,Paraguay,,18 de julio de 1936,Delantero,20,1958
Jose Reyes,México,,12 de octubre de 1955,Arquero,1,1978
Jose Rivas,El Salvador,,12 de mayo de 1958,Delantero,13,1982
Jose Roca,México,,24 de mayo de 1928,Defensor,"20, 16","1950, 1954, 1958"
Jose Rodriguez,Cuba,,,Mediocampista,-,1938
José Rojas,Chile,1.76 m,23 de junio de 1983,Defensor,13,2014
Jose Rugamas,El Salvador,,5 de junio de 1953,Mediocampista,8,1982
Jose Ruiz,México,,1 de enero de 1904,Delantero,-,1930
José Sá,Portugal,1.92 m,17 de enero de 1993,Arquero,12,2022
Jose Salazar,Uruguay,,26 de octubre de 1963,Mediocampista,17,1986
Jose Salgado,México,,3 de abril de 1966,Defensor,18,1994
Jose Sanchez,España,,8 de octubre de 1956,Mediocampista,16,1982
Jose Sanfilippo,Argentina,,4 de mayo de 1935,Delantero,"21, 10","1958, 1962"
Jose Santa,Colombia,,12 de septiembre de 1970,Defensor,4,1998
Jose Santamaria,Uruguay,,31 de julio de 1929,Defensor,"2, 19","1954, 1962"
Jose Sasia,Uruguay,,27 de diciembre de 1933,Delantero,9,"1962, 1966"
Jose Serrizuela,Argentina,,10 de junio de 1962,Defensor,18,1990
Jose Sierra,Chile,,5 de diciembre de 1968,Mediocampista,10,1998
Jose Torres,Portugal,,8 de septiembre de 1938,Delantero,18,1966
Jose Ufarte,España,,17 de mayo de 1941,Delantero,7,1966
Jose Urruzmendi,Uruguay,,25 de agosto de 1944,Delantero,8,1966
Jose Valencia,Argentina,,3 de octubre de 1955,"Delantero, Mediocampista",21,"1978, 1982"
Jose Van Tuyne,Argentina,,13 de diciembre de 1954,Defensor,22,1982
Jose Vantolra,México,,30 de marzo de 1943,Defensor,13,1970
Jose Varacka,Argentina,,27 de mayo de 1932,Mediocampista,"6, 5","1958, 1966"
Jose Velasquez,Perú,,4 de junio de 1952,Mediocampista,6,"1978, 1982"
Jose Villegas,México,,20 de junio de 1934,Defensor,4,"1958, 1962"
Joseba Etxeberria,España,1.77 m,5 de septiembre de 1977,Delantero,17,1998
Josef Bican,Austria,,25 de septiembre de 1913,Delantero,-,1934
Josef Bomba,Checoslovaquia,,30 de marzo de 1939,Defensor,21,1962
Josef Ctyroky,Checoslovaquia,,30 de septiembre de 1906,Defensor,-,1934
Josef Degeorgi,Austria,,19 de enero de 1960,Defensor,4,1982
Josef Gauchel,Alemania,,11 de septiembre de 1916,Delantero,-,1938
Josef Hassmann,Austria,,21 de mayo de 1910,Delantero,-,1934
Josef Hickersberger,Austria,,27 de abril de 1948,Mediocampista,7,1978
Josef Jelinek,Checoslovaquia,,9 de enero de 1942,Delantero,11,1962
Josef Kadraba,Checoslovaquia,,29 de septiembre de 1933,Delantero,18,1962
Josef Kostalek,Checoslovaquia,,31 de agosto de 1909,Mediocampista,-,"1934, 1938"
Josef Ludl,Checoslovaquia,,3 de junio de 1916,Delantero,-,1938
Josef Majer,Checoslovaquia,,8 de junio de 1925,Delantero,18,1954
Josef Masopust,Checoslovaquia,,9 de febrero de 1931,Mediocampista,"5, 6","1958, 1962"
Josef Orth,Checoslovaquia,,,Defensor,-,1938
Josef Silny,Checoslovaquia,,23 de enero de 1902,Delantero,-,1934
Josef Smistik,Austria,,28 de noviembre de 1905,Mediocampista,-,1934
Josef Stibranyi,Checoslovaquia,,11 de abril de 1940,Mediocampista,7,1962
Josef Streb,Alemania,,16 de abril de 1912,Mediocampista,-,1934
Josef Stroh,Austria,,5 de marzo de 1913,Delantero,-,"1934, 1938"
Josef Zeman,Checoslovaquia,,23 de enero de 1915,Delantero,-,1938
Joseph Aidoo,Ghana,1.84 m,29 de septiembre de 1995,Defensor,15,2022
Joseph Alcazar,Francia,,15 de junio de 1911,Delantero,-,1934
Joseph-Antoine Bell,Camerún,,8 de octubre de 1954,Arquero,"12, 1","1982, 1990, 1994"
Joseph Bonnel,Francia,,4 de enero de 1939,Mediocampista,4,1966
Joseph-Desire Job,Camerún,1.80 m,1 de diciembre de 1977,Delantero,21,"1998, 2002"
Joseph Elanga,Camerún,,2 de mayo de 1979,Mediocampista,2,1998
Joseph Enanga,Camerún,,18 de noviembre de 1956,Mediocampista,19,1982
Joseph Gonzalez,Francia,,19 de febrero de 1907,Defensor,-,1934
Joseph Kamga,Camerún,,17 de agosto de 1953,Mediocampista,17,1982
Joseph-Marion Leandre,Haití,,9 de mayo de 1945,Defensor,17,1974
Joseph Mermans,Bélgica,,16 de febrero de 1922,Delantero,11,1954
Joseph Ndo,Camerún,1.79 m,28 de abril de 1976,"Delantero, Mediocampista","15, 7","1998, 2002"
Joseph Nelis,Bélgica,,1 de abril de 1917,Delantero,-,1938
Joseph Vliers,Bélgica,,18 de diciembre de 1932,Delantero,7,1954
Joseph Yobo,Nigeria,1.85 m,6 de septiembre de 1980,"Defensor, Mediocampista",2,"2002, 2010, 2014"
Josh Risdon,Australia,1.76 m,27 de julio de 1992,Defensor,19,2018
Josh Sargent,Estados Unidos,1.85 m,20 de febrero de 2000,Delantero,24,2022
Josh Wolff,Estados Unidos,1.75 m,25 de febrero de 1977,Delantero,"15, 16","2002, 2006"
Joshua Kennedy,Australia,1.92 m,20 de agosto de 1982,Delantero,"19, 9","2006, 2010"
Joshua Kimmich,Alemania,1.77 m,8 de febrero de 1995,Defensor,"18, 6","2018, 2022"
Josif Moravetz,Rumania,,14 de enero de 1911,Mediocampista,-,1934
Josimar,Brasil,,19 de septiembre de 1961,Defensor,13,1986
Josip Drmic,Suiza,1.84 m,8 de agosto de 1992,Delantero,19,"2014, 2018"
Josip Juranovic,Croacia,1.73 m,16 de agosto de 1995,Defensor,22,2022
Josip Katalinski,Yugoslavia,,12 de mayo de 1948,Defensor,5,1974
Josip Pivarić,Croacia,1.76 m,29 de enero de 1989,Defensor,22,2018
Josip Simunic,Croacia,1.95 m,18 de febrero de 1978,Defensor,3,"2002, 2006"
Josip Skoblar,Yugoslavia,,12 de marzo de 1941,Delantero,11,1962
Josip Skoko,Australia,1.77 m,10 de diciembre de 1975,Mediocampista,8,2006
Josip Stanisic,Croacia,1.86 m,2 de abril de 2000,Defensor,2,2022
Josip Sutalo,Croacia,1.90 m,28 de febrero de 2000,Defensor,24,2022
Josip Weber,Bélgica,,16 de noviembre de 1964,Delantero,17,1994
Josko Gvardiol,Croacia,1.85 m,23 de enero de 2002,Defensor,20,2022
Jostein Flo,Noruega,,3 de octubre de 1964,Delantero,"6, 16","1994, 1998"
Josue,Brasil,1.69 m,19 de julio de 1979,Mediocampista,17,2010
Joszef Nagy,Rumania,,,Delantero,-,1938
Jovan Acimovic,Yugoslavia,,21 de junio de 1948,Mediocampista,10,1974
Jozef Adamec,Checoslovaquia,,26 de febrero de 1942,Delantero,10,"1962, 1970"
Jozef Barmos,Checoslovaquia,,28 de agosto de 1954,Defensor,5,1982
Jozef Capkovic,Checoslovaquia,,11 de enero de 1948,Delantero,21,1970
Jozef Chovanec,Checoslovaquia,,7 de marzo de 1960,Mediocampista,8,1990
Jozef Jurkanin,Checoslovaquia,,5 de marzo de 1949,Delantero,19,1970
Jozef Korbas,Polonia,,11 de noviembre de 1914,Delantero,-,1938
Jozef Kukucka,Checoslovaquia,,13 de marzo de 1957,Defensor,15,1982
Jozef Mlynarczyk,Polonia,,20 de septiembre de 1953,Arquero,1,"1982, 1986"
Jozef Wandzik,Polonia,,13 de agosto de 1963,Arquero,19,1986
Jozsef Andrusch,Hungría,,31 de marzo de 1956,Arquero,22,1986
Jozsef Bencsis,Hungría,,6 de agosto de 1933,Delantero,20,1958
Jozsef Bozsik,Hungría,,28 de noviembre de 1925,Mediocampista,5,"1954, 1958"
Jozsef Csuhay,Hungría,,12 de julio de 1957,Defensor,"20, 12","1982, 1986"
Jozsef Gelei,Hungría,,29 de junio de 1938,Arquero,21,1966
Jozsef Hada,Hungría,,2 de marzo de 1911,Arquero,-,"1934, 1938"
Jozsef Kardos,Hungría,,22 de marzo de 1960,Defensor,5,1986
Jozsef Kiprich,Hungría,,6 de septiembre de 1963,Delantero,7,1986
Jozsef Nagy,Hungría,,21 de octubre de 1960,Mediocampista,16,1986
Jozsef Palinkas,Hungría,,1 de enero de 1912,Arquero,-,1938
Jozsef Szendrei,Hungría,,25 de abril de 1954,Arquero,18,1986
Jozsef Toth,Hungría,,16 de mayo de 1929,Delantero,7,1954
Jozsef Toth,Hungría,,2 de diciembre de 1951,Defensor,4,"1978, 1982"
Jozsef Turay,Hungría,,1 de marzo de 1905,Mediocampista,-,1938
Jozsef Vago,Hungría,,1 de enero de 1906,Defensor,-,1934
Jozsef Varga,Hungría,,9 de octubre de 1954,Defensor,"19, 4","1982, 1986"
Jozsef Zakarias,Hungría,,25 de marzo de 1924,Mediocampista,6,1954
Jozy Altidore,Estados Unidos,1.85 m,6 de noviembre de 1989,Delantero,17,"2010, 2014"
Juan,Brasil,1.82 m,1 de febrero de 1979,Defensor,4,"2006, 2010"
Juan Acuña,España,,14 de febrero de 1923,Arquero,-,1950
Juan Aguero,Paraguay,,24 de junio de 1935,Delantero,7,1958
Juan Aguilera,Chile,,,Delantero,-,1930
Juan Alfonso Valle,Perú,,1 de enero de 1905,Mediocampista,-,1930
Juan Alonso,Cuba,,1 de enero de 1911,Delantero,-,1938
Juan Anselmo,Uruguay,,30 de abril de 1902,Delantero,-,1930
Juan Antonio Senor,España,,26 de agosto de 1958,Mediocampista,7,1986
Juan Ayra,Cuba,,1 de enero de 1911,Arquero,-,1938
Juan Barbas,Argentina,,23 de agosto de 1959,Mediocampista,3,1982
Juan Botasso,Argentina,,23 de octubre de 1908,Arquero,-,1930
Juan Burgueno,Uruguay,,1 de enero de 1923,Delantero,-,1950
Juan Caceres,Perú,,27 de diciembre de 1949,Arquero,13,1978
Juan Carlos Ablanedo,España,,2 de septiembre de 1963,Arquero,"22, 13","1986, 1990"
Juan Carlos Burbano,Ecuador,1.74 m,15 de febrero de 1969,Mediocampista,14,2002
Juan Carlos Calvo,Uruguay,,26 de junio de 1906,Delantero,-,1930
Juan Carlos Franco,Paraguay,1.79 m,17 de abril de 1973,Defensor,17,2002
Juan Carlos García,Honduras,1.88 m,8 de marzo de 1988,Defensor,6,2014
Juan Carlos Gonzalez,Uruguay,,22 de agosto de 1924,Mediocampista,-,1950
Juan Carlos Oblitas,Perú,,16 de febrero de 1951,Delantero,11,"1978, 1982"
Juan Carlos Paredes,Ecuador,1.74 m,8 de junio de 1987,Defensor,4,2014
Juan Carlos Valeron,España,1.80 m,17 de junio de 1975,Mediocampista,17,2002
Juan Carreno,México,,14 de agosto de 1907,Delantero,-,1930
Juan Castillo,Uruguay,1.81 m,17 de abril de 1978,Arquero,12,2010
Juan Cayasso,Costa Rica,,24 de junio de 1961,Delantero,14,1990
Juan Chavez,México,,18 de enero de 1967,Mediocampista,13,1994
Juan Cruz,Honduras,,27 de febrero de 1959,Mediocampista,14,1982
Juan Evaristo,Argentina,,20 de junio de 1902,Mediocampista,-,1930
Juan Foyth,Argentina,1.88 m,12 de enero de 1998,Defensor,2,2022
Juan Gomez,México,,26 de junio de 1924,Defensor,14,1954
Juan Gualberto Fernandez,El Salvador,,12 de julio de 1941,Arquero,20,1970
Juan Guerra,Bolivia,,,Delantero,-,1950
Juan Guillermo Cuadrado,Colombia,1.76 m,26 de mayo de 1988,Mediocampista,11,"2014, 2018"
Juan Hohberg,Uruguay,1.78 m,19 de junio de 1926,Delantero,8,1954
Juan Ignacio Basaguren,México,,21 de julio de 1944,Delantero,20,1970
Juan Jose Rodriguez,Costa Rica,1.78 m,23 de junio de 1967,Defensor,14,2002
Juan Leon Canete,Paraguay,,,Delantero,-,1950
Juan Letelier,Chile,,20 de mayo de 1959,Delantero,9,1982
Juan Lezcano,Paraguay,,5 de abril de 1937,Defensor,3,1958
Juan Machuca,Chile,,7 de marzo de 1951,Defensor,12,1974
Juan Manuel Alejandrez,México,,15 de noviembre de 1943,Defensor,2,1970
Juan Manuel Asensi,España,,23 de septiembre de 1949,Mediocampista,4,1978
Juan Mata,España,1.74 m,28 de abril de 1988,Delantero,13,"2010, 2014"
Juan Manuel Pena,Bolivia,,17 de enero de 1973,Defensor,2,1994
Juan Martinez,El Salvador,,20 de abril de 1948,Mediocampista,9,1970
Juan Masnik,Uruguay,,2 de marzo de 1943,Defensor,3,1974
Juan Mujica,Uruguay,,22 de diciembre de 1944,Defensor,6,1970
Juan Munante,Perú,,12 de julio de 1948,Delantero,7,1978
Juan Nogues,España,,28 de marzo de 1909,Arquero,-,1934
Juan Oleniak,Argentina,,6 de marzo de 1942,Delantero,20,1962
Juan Olivares,Chile,,20 de febrero de 1941,Arquero,"13, 21","1966, 1974"
Juan Pablo Montes,Honduras,1.91 m,26 de octubre de 1985,Defensor,4,2014
Juan Pablo Vargas,Costa Rica,1.92 m,6 de junio de 1995,Defensor,3,2022
Juan Pedevilla,Argentina,,6 de junio de 1909,Defensor,-,1934
Juan Quintero,Colombia,1.69 m,18 de enero de 1993,Mediocampista,20,"2014, 2018"
Juan Ramirez,México,,8 de marzo de 1969,Defensor,3,1994
Juan Rodriguez,Chile,,16 de enero de 1944,Defensor,6,1974
Juan Román Riquelme,Argentina,1.82 m,24 de junio de 1978,Mediocampista,10,2006
Juan Sarnari,Argentina,,22 de enero de 1942,Mediocampista,17,1966
Juan Schiaffino,Uruguay,,28 de julio de 1925,Delantero,10,"1950, 1954"
Juan Silva,Uruguay,,30 de agosto de 1948,Delantero,20,1974
Juan Simon,Argentina,,2 de marzo de 1960,Defensor,20,1990
Juan Sorin,Argentina,1.73 m,5 de mayo de 1976,"Defensor, Mediocampista",3,"2002, 2006"
Juan Torales,Paraguay,,9 de marzo de 1956,Defensor,2,1986
Juan Tunas,Cuba,,1 de enero de 1913,Delantero,-,1938
Juan Valdivieso,Perú,,6 de mayo de 1910,Arquero,-,1930
Juan Veron,Argentina,1.86 m,9 de marzo de 1975,Mediocampista,"11, 8","1998, 2002, 2010"
Juan Zuñiga,Colombia,1.72 m,14 de diciembre de 1985,Defensor,18,2014
Juanele,España,,10 de abril de 1971,Delantero,14,1994
Juanfran,España,1.80 m,9 de enero de 1985,Defensor,5,2014
Juanfran,España,1.83 m,15 de julio de 1976,Defensor,3,2002
Juanito,España,1.79 m,23 de julio de 1976,Defensor,20,2006
Juanito,España,,10 de noviembre de 1954,Delantero,"8, 7","1978, 1982"
Jude Bellingham,Inglaterra,1.86 m,29 de junio de 2003,Mediocampista,22,2022
Juerg Studer,Suiza,,8 de septiembre de 1966,Defensor,19,1994
Juergen Croy,Alemania Oriental,,19 de octubre de 1946,Arquero,1,1974
Juergen Grabowski,Alemania Occidental,,7 de julio de 1944,Delantero,"20, 9","1966, 1970, 1974"
Juergen Klinsmann,Alemania Occidental,,30 de julio de 1964,Delantero,18,"1990, 1994, 1998"
Juergen Kohler,Alemania Occidental,,6 de octubre de 1965,Defensor,4,"1990, 1994, 1998"
Juergen Kurbjuhn,Alemania Occidental,,26 de julio de 1940,Defensor,13,1962
Juergen Pommerenke,Alemania Oriental,,22 de enero de 1953,Mediocampista,7,1974
Juergen Sommer,Estados Unidos,,27 de febrero de 1969,Arquero,"12, 16","1994, 1998"
Juergen Sparwasser,Alemania Oriental,,4 de junio de 1948,Mediocampista,14,1974
Juergen Werner,Alemania Occidental,,15 de agosto de 1935,Defensor,14,1962
Julen Guerrero,España,,7 de enero de 1974,Mediocampista,8,"1994, 1998"
Julen Lopetegui,España,,28 de agosto de 1966,Arquero,22,1994
Jules Denis Onana,Camerún,,12 de junio de 1964,Defensor,3,1990
Jules Koundé,Francia,1.78 m,12 de noviembre de 1998,Defensor,5,2022
Jules Pappaert,Bélgica,,5 de noviembre de 1905,Defensor,-,1934
Jules Vandooren,Francia,,30 de diciembre de 1908,Defensor,-,"1934, 1938"
Julian Alvarez,Argentina,1.70 m,31 de enero de 2000,Delantero,9,2022
Julian Brandt,Alemania,1.83 m,2 de mayo de 1996,Mediocampista,"20, 17","2018, 2022"
Julian Coronel,Paraguay,,23 de octubre de 1958,Arquero,22,1986
Julian Draxler,Alemania,1.85 m,20 de septiembre de 1993,Mediocampista,"14, 7","2014, 2018"
Julian Green,Estados Unidos,1.72 m,6 de junio de 1995,Mediocampista,16,2014
Julien Darui,Francia,,16 de febrero de 1916,Arquero,-,1938
Julinho,Brasil,,29 de julio de 1929,Delantero,7,1954
Julio Abbadie,Uruguay,,7 de septiembre de 1930,Delantero,7,1954
Julio Alberto,España,,7 de octubre de 1958,Defensor,11,1986
Julio Baldivieso,Bolivia,,2 de diciembre de 1971,Mediocampista,22,1994
Julio Baptista,Brasil,1.85 m,1 de octubre de 1981,Mediocampista,19,2010
Julio Baylon,Perú,,10 de diciembre de 1947,Mediocampista,8,1970
Julio Cardenosa,España,,27 de octubre de 1949,Mediocampista,11,1978
Julio Cesar,Brasil,,8 de marzo de 1963,Defensor,14,1986
Julio Cesar,Brasil,1.86 m,3 de septiembre de 1979,Arquero,"22, 1, 12","2006, 2010, 2014"
Julio Cesar Arzu,Honduras,,5 de junio de 1954,Arquero,21,1982
Julio Cesar Britos,Uruguay,,18 de mayo de 1926,Delantero,-,1950
Julio Cesar Caceres,Paraguay,1.81 m,5 de octubre de 1979,Defensor,"18, 5","2002, 2006, 2010"
Jerry Palacios,Honduras,1.81 m,1 de noviembre de 1981,Delantero,"10, 9","2010, 2014"
Julio Cesar Enciso,Paraguay,1.74 m,5 de agosto de 1974,Mediocampista,16,1998
Julio Cesar Jimenez,Uruguay,,27 de agosto de 1954,Mediocampista,17,1974
Julio Cesar Romero,Paraguay,,28 de agosto de 1960,Mediocampista,8,1986
Julio Cesar Uribe,Perú,,9 de mayo de 1958,Mediocampista,9,1982
Julio Cesar Yegros,Paraguay,,31 de enero de 1971,Delantero,7,1998
Julio Cortes,Uruguay,,29 de marzo de 1941,Mediocampista,"8, 7, 20","1962, 1966, 1970"
Julio Cruz,Argentina,1.90 m,10 de octubre de 1974,Delantero,20,2006
Julio Dos Santos,Paraguay,1.90 m,7 de mayo de 1983,Mediocampista,19,2006
Julio Hernandez,El Salvador,,31 de enero de 1958,Arquero,19,1982
Julio Lores,Perú,,15 de septiembre de 1908,Delantero,-,1930
Julio Losada,Uruguay,,16 de junio de 1950,Delantero,21,1970
Julio Maceiras,Uruguay,,22 de abril de 1926,Arquero,12,1954
Julio Manzur,Paraguay,1.85 m,22 de enero de 1981,Defensor,15,2006
Julio Montero Castillo,Uruguay,,25 de abril de 1944,"Defensor, Mediocampista",5,"1970, 1974"
Julio Morales,Uruguay,,16 de febrero de 1945,Delantero,11,1970
Julio Mussimesi,Argentina,,9 de julio de 1923,Arquero,12,1958
Julio Olarticoechea,Argentina,,18 de octubre de 1958,"Defensor, Mediocampista","13, 16","1982, 1986, 1990"
Julio Perez,Uruguay,,19 de junio de 1926,Delantero,21,"1950, 1954"
Julio Quintana,Perú,,1 de enero de 1904,Mediocampista,-,1930
Julio Salinas,España,1.88 m,11 de septiembre de 1962,Delantero,19,"1986, 1990, 1994"
Julius Aghahowa,Nigeria,1.78 m,12 de febrero de 1982,Delantero,17,2002
Julius Bielik,Checoslovaquia,,8 de marzo de 1962,Defensor,2,1990
Julius Hjulian,Estados Unidos,,15 de marzo de 1903,Arquero,-,1934
Jun-ho Son,Corea del Sur,1.78 m,12 de mayo de 1992,Mediocampista,13,2022
Jun Il Ri,Corea del Norte,1.78 m,24 de agosto de 1987,Defensor,3,2010
Jung Bae Park,Corea del Sur,,19 de febrero de 1967,Defensor,5,1994
Jung Hwan Ahn,Corea del Sur,1.77 m,27 de enero de 1976,"Delantero, Mediocampista","19, 9","2002, 2006, 2010"
Jung Moo Huh,Corea del Sur,,13 de enero de 1955,Mediocampista,17,1986
Jung Soo Lee,Corea del Sur,1.85 m,8 de enero de 1980,Defensor,14,2010
Jung Won Seo,Corea del Sur,1.72 m,17 de diciembre de 1970,Delantero,11,"1994, 1998"
Jung Woo Kim,Corea del Sur,1.83 m,9 de mayo de 1982,Mediocampista,8,2010
Jung Yoon Noh,Corea del Sur,1.72 m,28 de marzo de 1971,Mediocampista,8,"1994, 1998"
Junichi Inamoto,Japón,1.81 m,18 de septiembre de 1979,Mediocampista,"5, 17, 20","2002, 2006, 2010"
Juninho,Brasil,,29 de agosto de 1958,Defensor,14,1982
Juninho Paulista,Brasil,1.65 m,22 de febrero de 1973,Mediocampista,19,2002
Juninho Pernambucano,Brasil,1.78 m,30 de enero de 1975,Mediocampista,19,2006
Junior,Brasil,,29 de junio de 1954,Defensor,6,"1982, 1986"
Junior,Brasil,1.73 m,20 de junio de 1973,Defensor,16,2002
Junior Baiano,Brasil,,14 de marzo de 1970,Defensor,4,1998
Júnior Díaz,Costa Rica,1.85 m,12 de septiembre de 1983,Defensor,15,2014
Junior Hoilett,Canadá,1.74 m,5 de junio de 1990,Delantero,10,2022
Junya Ito,Japón,1.76 m,9 de marzo de 1993,Mediocampista,14,2022
Junzhe Zhao,China,1.80 m,18 de abril de 1979,Mediocampista,15,2002
