id_equipo_ideal,anio,posicion,id_jugador,jugador,id_seleccion,seleccion
133,1986,Arquero,6679,Jean-Marie Pfaff,13,Bélgica
134,1986,Defensores,3822,Manuel Amoros,36,Francia
135,1986,Defensores,1671,Josimar,11,Brasil
136,1986,Defensores,1676,Julio Cesar,11,Brasil
137,1986,Mediocampistas,6571,Jan Ceulemans,13,Bélgica
138,1986,Mediocampistas,5307,Diego Maradona,6,Argentina
139,1986,Mediocampistas,4012,Michel Platini,36,Francia
140,1986,Mediocampistas,4053,Jean Tigana,36,Francia
141,1986,Delanteros,4880,Emilio Butragueño,34,España
142,1986,Delanteros,4208,Preben Elkjaer Larsen,26,Dinamarca
143,1986,Delanteros,1325,Gary Lineker,44,Inglaterra
144,1990,Arquero,1986,Gabelo Conejo,22,Costa Rica
145,1990,Arquero,5275,Sergio Goycochea,6,Argentina
146,1990,Defensores,5536,Franco Baresi,51,Italia
147,1990,Defensores,6066,Andreas Brehme,87,Alemania Occidental
148,1990,Defensores,5674,Paolo Maldini,51,Italia
149,1990,Mediocampistas,1281,Paul Gascoigne,44,Inglaterra
150,1990,Mediocampistas,5307,Diego Maradona,6,Argentina
151,1990,Mediocampistas,6212,Lothar Matthaeus,87,Alemania Occidental
152,1990,Mediocampistas,3739,Dragan Stojkovic,85,Yugoslavia
153,1990,Delanteros,6174,Juergen Klinsmann,87,Alemania Occidental
154,1990,Delanteros,936,Roger Milla,14,Camerún
155,1990,Delanteros,5758,Salvatore Schillaci,51,Italia
156,1994,Arquero,6684,Michel Preudhomme,13,Bélgica
157,1994,Defensores,1670,Jorginho,11,Brasil
158,1994,Defensores,5674,Paolo Maldini,51,Italia
159,1994,Defensores,1708,Marcio Santos,11,Brasil
160,1994,Mediocampistas,2917,Krassimir Balakov,12,Bulgaria
161,1994,Mediocampistas,3366,Tomas Brolin,73,Suecia
162,1994,Mediocampistas,1605,Dunga,11,Brasil
163,1994,Mediocampistas,1891,Gheorghe Hagi,68,Rumania
164,1994,Delanteros,5533,Roberto Baggio,51,Italia
165,1994,Delanteros,1791,Romario,11,Brasil
166,1994,Delanteros,3001,Hristo Stoichkov,12,Bulgaria
167,1998,Arquero,3832,Fabien Barthez,36,Francia
168,1998,Arquero,4348,Jose Luis Chilavert,62,Paraguay
169,1998,Defensores,6380,Frank De Boer,60,Paises Bajos
170,1998,Defensores,3894,Marcel Desailly,36,Francia
171,1998,Defensores,4366,Carlos Gamarra,62,Paraguay
172,1998,Defensores,1784,Roberto Carlos,11,Brasil
173,1998,Defensores,4051,Lilian Thuram,36,Francia
174,1998,Mediocampistas,6379,Edgar Davids,60,Paises Bajos
175,1998,Mediocampistas,1605,Dunga,11,Brasil
176,1998,Mediocampistas,4243,Michael Laudrup,26,Dinamarca
177,1998,Mediocampistas,1781,Rivaldo,11,Brasil
178,1998,Mediocampistas,4075,Zinedine Zidane,36,Francia
179,1998,Delanteros,6362,Dennis Bergkamp,60,Paises Bajos
180,1998,Delanteros,4242,Brian Laudrup,26,Dinamarca
181,1998,Delanteros,1795,Ronaldo,11,Brasil
182,1998,Delanteros,3743,Davor Suker,24,Croacia
183,2002,Arquero,6161,Oliver Kahn,1,Alemania
184,2002,Arquero,5482,Rustu Recber,77,Turquía
185,2002,Defensores,1235,Sol Campbell,44,Inglaterra
186,2002,Defensores,4945,Fernando Hierro,34,España
187,2002,Defensores,6972,Myung Bo Hong,21,Corea del Sur
188,2002,Defensores,5478,Alpay Ozalan,77,Turquía
189,2002,Defensores,1784,Roberto Carlos,11,Brasil
190,2002,Mediocampistas,6047,Michael Ballack,1,Alemania
191,2002,Mediocampistas,2871,Claudio Reyna,35,Estados Unidos
192,2002,Mediocampistas,1781,Rivaldo,11,Brasil
193,2002,Mediocampistas,1794,Ronaldinho,11,Brasil
194,2002,Mediocampistas,7095,Sang Chul Yoo,21,Corea del Sur
195,2002,Delanteros,1033,El Hadji Diouf,70,Senegal
196,2002,Delanteros,6176,Miroslav Klose,1,Alemania
197,2002,Delanteros,1795,Ronaldo,11,Brasil
198,2002,Delanteros,5485,Hasan Sas,77,Turquía
199,2006,Arquero,5559,Gianluigi Buffon,51,Italia
200,2006,Arquero,6197,Jens Lehmann,1,Alemania
201,2006,Arquero,5044,Ricardo,65,Portugal
202,2006,Defensores,5169,Roberto Ayala,6,Argentina
203,2006,Defensores,5568,Fabio Cannavaro,51,Italia
204,2006,Defensores,6196,Philipp Lahm,1,Alemania
205,2006,Defensores,3305,Ricardo Carvalho,65,Portugal
206,2006,Defensores,1411,John Terry,44,Inglaterra
207,2006,Defensores,4051,Lilian Thuram,36,Francia
208,2006,Defensores,5794,Gianluca Zambrotta,51,Italia
209,2006,Mediocampistas,6047,Michael Ballack,1,Alemania
210,2006,Mediocampistas,5641,Gennaro Gattuso,51,Italia
211,2006,Mediocampistas,3262,Maniche,65,Portugal
212,2006,Mediocampistas,5733,Andrea Pirlo,51,Italia
213,2006,Mediocampistas,5779,Francesco Totti,51,Italia
214,2006,Mediocampistas,4068,Patrick Vieira,36,Francia
215,2006,Mediocampistas,1838,Ze Roberto,11,Brasil
216,2006,Mediocampistas,4075,Zinedine Zidane,36,Francia
217,2006,Delanteros,5225,Hernan Crespo,6,Argentina
218,2006,Delanteros,3235,Luis Figo,65,Portugal
219,2006,Delanteros,3937,Thierry Henry,36,Francia
220,2006,Delanteros,6176,Miroslav Klose,1,Alemania
221,2006,Delanteros,5777,Luca Toni,51,Italia
222,2010,Arquero,4892,Iker Casillas,34,España
223,2010,Defensores,6196,Philipp Lahm,1,Alemania
224,2010,Defensores,1703,Maicon,11,Brasil
225,2010,Defensores,5028,Carles Puyol,34,España
226,2010,Defensores,5035,Sergio Ramos,34,España
227,2010,Mediocampistas,4948,Andrés Iniesta,34,España
228,2010,Mediocampistas,6280,Bastian Schweinsteiger,1,Alemania
229,2010,Mediocampistas,6481,Wesley Sneijder,60,Paises Bajos
230,2010,Mediocampistas,5095,Xavi,34,España
231,2010,Delanteros,5872,Diego Forlan,80,Uruguay
232,2010,Delanteros,5091,David Villa,34,España
233,2014,Arquero,6230,Manuel Neuer,1,Alemania
234,2014,Defensores,1591,David Luiz,11,Brasil
235,2014,Defensores,6150,Mats Hummels,1,Alemania
236,2014,Defensores,1707,Marcelo,11,Brasil
237,2014,Defensores,1804,Thiago Silva,11,Brasil
238,2014,Mediocampistas,5238,Angel Di Maria,6,Argentina
239,2014,Mediocampistas,6189,Toni Kroos,1,Alemania
240,2014,Mediocampistas,2715,James Rodríguez,19,Colombia
241,2014,Delanteros,5318,Lionel Messi,6,Argentina
242,2014,Delanteros,6226,Thomas Müller,1,Alemania
243,2014,Delanteros,1735,Neymar Jr.,11,Brasil
244,2018,Arquero,6581,Thibaut Courtois,13,Bélgica
245,2018,Defensores,5883,Diego Godin,80,Uruguay
246,2018,Defensores,1707,Marcelo,11,Brasil
247,2018,Defensores,1804,Thiago Silva,11,Brasil
248,2018,Defensores,4063,Raphael Varane,36,Francia
249,2018,Mediocampistas,6588,Kevin De Bruyne,13,Bélgica
250,2018,Mediocampistas,1124,Luka Modric,24,Croacia
251,2018,Mediocampistas,1762,Philippe Coutinho,11,Brasil
252,2018,Delanteros,1312,Harry Kane,44,Inglaterra
253,2018,Delanteros,3992,Kylian Mbappé,36,Francia
254,2018,Delanteros,3307,Cristiano Ronaldo,65,Portugal
