id_goleador,anio,id_seleccion,id_jugador,goles,partidos,promedio
381,1966,11,1780,1,1,1.0
382,1966,80,5976,1,4,0.25
383,1966,34,5057,1,3,0.33
384,1966,65,3318,1,6,0.17
385,1966,11,1816,1,1,1.0
386,1966,87,6313,1,6,0.17
387,1966,20,8009,1,2,0.5
388,1970,87,6223,10,6,1.67
389,1970,11,1663,7,6,1.17
390,1970,63,2147,5,4,1.25
391,1970,88,262,4,4,1.0
392,1970,11,1759,4,6,0.67
393,1970,51,5746,3,6,0.5
394,1970,11,1782,3,5,0.6
395,1970,87,6281,3,6,0.5
396,1970,51,5553,2,6,0.33
397,1970,68,1882,2,3,0.67
398,1970,63,2162,2,4,0.5
399,1970,13,6644,2,2,1.0
400,1970,86,548,2,3,0.67
401,1970,51,5747,2,4,0.5
402,1970,11,1816,2,6,0.33
403,1970,56,7883,2,4,0.5
404,1970,13,6726,2,3,0.67
405,1970,88,252,1,4,0.25
406,1970,56,7655,1,2,0.5
407,1970,87,6051,1,5,0.2
408,1970,12,2918,1,3,0.33
409,1970,51,5562,1,6,0.17
410,1970,11,1571,1,6,0.17
411,1970,63,2141,1,4,0.25
412,1970,63,2142,1,4,0.25
413,1970,44,1243,1,1,1.0
414,1970,11,1584,1,6,0.17
415,1970,80,5849,1,5,0.2
416,1970,68,1874,1,3,0.33
417,1970,12,2923,1,2,0.5
418,1970,51,5617,1,6,0.17
419,1970,80,5865,1,6,0.17
420,1970,56,7721,1,4,0.25
421,1970,11,1640,1,4,0.25
422,1970,55,8362,1,3,0.33
423,1970,56,7738,1,3,0.33
424,1970,73,3391,1,2,0.5
425,1970,44,1304,1,3,0.33
426,1970,55,8371,1,2,0.5
427,1970,88,322,1,4,0.25
428,1970,12,2959,1,2,0.5
429,1970,87,6199,1,5,0.2
430,1970,80,5913,1,6,0.17
431,1970,80,5935,1,6,0.17
432,1970,44,1351,1,4,0.25
433,1970,68,1916,1,3,0.33
434,1970,12,2981,1,2,0.5
435,1970,87,6239,1,6,0.17
436,1970,56,7819,1,4,0.25
437,1970,44,1365,1,4,0.25
438,1970,87,6274,1,5,0.2
439,1970,50,1006,1,3,0.33
440,1970,73,3529,1,2,0.5
441,1970,12,3024,1,2,0.5
442,1974,64,3110,7,7,1.0
443,1974,60,6452,5,7,0.71
444,1974,64,3160,5,6,0.83
445,1974,73,3375,4,6,0.67
446,1974,87,6223,4,7,0.57
447,1974,60,6468,4,7,0.57
448,1974,85,3540,3,3,1.0
449,1974,87,6067,3,7,0.43
450,1974,60,6378,3,7,0.43
451,1974,64,3048,3,7,0.43
452,1974,6,5283,3,6,0.5
453,1974,11,1782,3,7,0.43
454,1974,11,1663,2,7,0.29
455,1974,31,2356,2,3,0.67
456,1974,85,3614,2,4,0.5
457,1974,87,6239,2,7,0.29
458,1974,73,3503,2,6,0.33
459,1974,40,2454,2,3,0.67
460,1974,2,2522,2,4,0.5
461,1974,85,3744,2,6,0.33
462,1974,6,5441,2,3,0.67
463,1974,17,626,1,3,0.33
464,1974,51,5523,1,3,0.33
465,1974,6,5170,1,6,0.17
466,1974,6,5171,1,5,0.2
467,1974,51,5543,1,3,0.33
468,1974,85,3547,1,5,0.2
469,1974,12,2918,1,3,0.33
470,1974,87,6063,1,4,0.25
471,1974,6,5196,1,4,0.25
472,1974,51,5569,1,3,0.33
473,1974,87,6078,1,3,0.33
474,1974,60,6390,1,4,0.25
475,1974,85,3575,1,5,0.2
476,1974,64,3069,1,7,0.14
477,1974,87,6112,1,6,0.17
478,1974,6,5280,1,6,0.17
479,1974,87,6142,1,7,0.14
480,1974,2,2511,1,6,0.17
481,1974,85,3615,1,6,0.17
482,1974,60,6434,1,7,0.14
483,1974,31,2363,1,3,0.33
484,1974,85,3677,1,5,0.2
485,1974,80,5948,1,3,0.33
486,1974,85,3696,1,5,0.2
487,1974,60,6467,1,6,0.17
488,1974,51,5747,1,2,0.5
489,1974,2,2521,1,6,0.17
490,1974,73,3528,1,5,0.2
491,1974,11,1818,1,6,0.17
492,1978,6,5290,6,7,0.86
493,1978,63,2147,5,6,0.83
494,1978,60,6467,5,7,0.71
495,1978,8,4603,4,6,0.67
496,1978,6,5304,4,5,0.8
497,1978,11,1598,3,7,0.43
498,1978,60,6468,3,7,0.43
499,1978,11,1785,3,5,0.6
500,1978,51,5752,3,7,0.43
501,1978,87,6265,3,5,0.6
502,1978,6,5186,2,6,0.33
503,1978,51,5549,2,7,0.29
504,1978,64,3035,2,6,0.33
505,1978,60,6373,2,4,0.5
506,1978,87,6094,2,4,0.5
507,1978,31,2328,2,3,0.67
508,1978,60,6410,2,6,0.33
509,1978,64,3110,2,6,0.33
510,1978,87,6222,2,4,0.5
511,1978,11,1733,2,4,0.5
512,1978,87,6035,1,3,0.33
513,1978,34,4867,1,3,0.33
514,1978,51,5543,1,6,0.17
515,1978,36,3843,1,2,0.5
516,1978,51,5579,1,7,0.14
517,1978,42,7508,1,3,0.33
518,1978,63,2148,1,6,0.17
519,1978,31,2314,1,3,0.33
520,1978,48,4096,1,2,0.5
