id_posicion_final,anio,posicion,id_seleccion
436,2018,10,34
437,2018,11,26
438,2018,12,56
439,2018,13,65
440,2018,14,74
441,2018,15,53
442,2018,16,6
443,2018,17,70
444,2018,18,48
445,2018,19,21
446,2018,20,63
447,2018,21,57
448,2018,22,1
449,2018,23,71
450,2018,24,78
451,2018,25,64
452,2018,26,4
453,2018,27,55
454,2018,28,49
455,2018,29,22
456,2018,30,7
457,2018,31,28
458,2018,32,61
459,2022,1,6
460,2022,2,36
461,2022,3,24
462,2022,4,55
463,2022,5,60
464,2022,6,44
465,2022,7,11
466,2022,8,65
467,2022,9,53
468,2022,10,70
469,2022,11,7
470,2022,12,74
471,2022,13,34
472,2022,14,35
473,2022,15,64
474,2022,16,21
475,2022,17,1
476,2022,18,27
477,2022,19,14
478,2022,20,80
479,2022,21,78
480,2022,22,56
481,2022,23,13
482,2022,24,38
483,2022,25,4
484,2022,26,48
485,2022,27,22
486,2022,28,26
487,2022,29,71
488,2022,30,37
489,2022,31,15
490,2022,32,16
